Nr	Group	Position	Locus	LOD	X..Iter.	mu_A	mu_H	mu_B	Variance	X..Expl.	Additive	GIC	traits	number	selected	physical	phy_se
2943	8	164.19	08_14312729-08_14391554	4.3	1	93.4809	85.4654	77.4499	524.824	10.4	8.0155	0.966	Green_2012	11223	TRUE	14.312729	TRUE
3228	9	51.252	09_3765291	2.68	1	92.7049	86.4594	80.2139	547.096	6.6	6.24549	0.995	Green_2012	11508	TRUE	3.765291	TRUE
3317	9	115.685	09_13420254-09_15059933	2.68	1	92.8653	86.5324	80.1996	546.988	6.6	6.33286	0.985	Green_2012	11597	TRUE	13.420254	TRUE
3366	9	149	09_28487819	2.65	1	92.9602	86.7162	80.4723	547.531	6.5	6.2439	0.993	Green_2012	11646	TRUE	28.487819	TRUE
3420	9	191.551	09_35873104-	2.21	1	92.5686	86.5294	80.4902	553.695	5.5	6.03918	0.883	Green_2012	11700	TRUE	35.873104	TRUE
5671	14	127.664	14_27341769	2.29	1	81.1634	86.9748	92.7861	552.582	5.7	-5.81135	1	Green_2012	13951	TRUE	27.341769	TRUE
5923	15	79.272	15_6671147-15_6883368	2.82	1	92.5257	85.9436	79.3615	545.122	7	6.58213	0.955	Green_2012	14203	TRUE	6.671147	TRUE
6195	15	281.838	15_48629463	2.51	1	92.0398	85.747	79.4542	549.367	6.2	6.29278	0.986	Green_2012	14475	TRUE	48.629463	TRUE
7315	18	238.36	18_49928560	2.03	1	91.8777	86.4259	80.9742	556.144	5.1	5.45176	1	Green_2012	15595	TRUE	49.92856	TRUE
7589	19	78.837	19_23087203-19_24686974	2.05	1	92.0699	86.5183	80.9667	555.979	5.1	5.55163	0.981	Green_2012	15869	TRUE	23.087203	TRUE
7669	19	132.897	19_35362631	2.15	1	92.3391	86.6902	81.0412	554.515	5.4	5.64894	0.992	Green_2012	15949	TRUE	35.362631	TRUE
335	1	252.439	01_52952506	2.39	1	122.123	116.64	111.157	465.218	5.9	5.48322	1	Red_2012	16895	TRUE	52.952506	TRUE
438	2	32.887	02_3621233	3.12	1	121.99	115.755	109.521	456.587	7.7	6.23463	0.985	Red_2012	16998	TRUE	3.621233	TRUE
1532	5	103.525	05_5233971	2.38	1	121.378	115.941	110.503	465.318	5.9	5.43776	1	Red_2012	18092	TRUE	5.233971	TRUE
1586	5	144.74	05_20092309-05_27809193	2.3	1	121.939	116.256	110.574	466.284	5.7	5.68246	0.874	Red_2012	18146	TRUE	20.092309	TRUE
2858	8	101.934	08_9318625-08_9501864	19.5	1	130.273	116.252	102.231	300.3	39.3	14.0209	0.991	Red_2012	19418	TRUE	9.318625	TRUE
6059	15	186.516	15_15243362	2.2	1	122.244	116.947	111.649	467.446	5.5	5.29742	1	Red_2012	22619	TRUE	15.243362	TRUE
7221	18	177.874	18_19644341	2.04	1	121.036	115.998	110.959	469.416	5.1	5.03845	0.989	Red_2012	23781	TRUE	19.644341	TRUE
7294	18	223.504	18_44884534	2.18	1	121.789	116.558	111.327	467.647	5.4	5.23084	0.994	Red_2012	23854	TRUE	44.884534	TRUE
7315	18	238.36	18_49928560	2.32	1	121.455	116.122	110.789	466.069	5.8	5.33319	1	Red_2012	23875	TRUE	49.92856	TRUE
7562	19	54.59	19_7836156	2.08	1	121.228	116.04	110.852	468.886	5.2	5.1883	0.991	Red_2012	24122	TRUE	7.836156	TRUE
7590	19	78.851	19_24686974	2.5	1	121.837	116.218	110.599	463.863	6.2	5.619	0.982	Red_2012	24150	TRUE	24.686974	TRUE
7669	19	132.897	19_35362631	2.45	1	121.908	116.381	110.854	464.498	6.1	5.52714	0.992	Red_2012	24229	TRUE	35.362631	TRUE
19	1	11.017	01_935824	2.11	1	11.4329	9.96991	8.50696	36.5642	5.5	1.46295	1	Seed_per_pod_3_2013	24859	TRUE	0.935824	TRUE
1151	4	59.742	04_8619534-04_8546320	2.56	1	11.3393	9.67512	8.0109	36.1285	6.6	1.66422	0.948	Seed_per_pod_3_2013	25991	TRUE	8.619534	TRUE
4186	11	144.532	11_28493623	4.12	1	12.0953	10.0462	7.99699	34.657	10.4	2.04917	1	Seed_per_pod_3_2013	29026	TRUE	28.493623	TRUE
4263	11	204.929	11_15037575	3.83	1	12.0295	10.0595	8.08939	34.929	9.7	1.97007	1	Seed_per_pod_3_2013	29103	TRUE	15.037575	TRUE
5054	13	196.145	13_23924406	4.91	1	12.2415	10.0274	7.81343	33.9396	12.3	2.21402	0.989	Seed_per_pod_3_2013	29894	TRUE	23.924406	TRUE
7589	19	78.837	19_23087203-19_24686974	5.51	1	12.1971	9.86315	7.52921	33.4045	13.6	2.33394	0.981	Seed_per_pod_3_2013	32429	TRUE	23.087203	TRUE
7609	19	91.667	19_5031288	5.86	1	12.2212	9.83685	7.45248	33.0928	14.4	2.38437	1	Seed_per_pod_3_2013	32449	TRUE	5.031288	TRUE
7681	19	142.677	19_35925150	7.08	1	12.5893	9.97547	7.36166	32.0322	17.2	2.61381	1	Seed_per_pod_3_2013	32521	TRUE	35.92515	TRUE
417	2	17.149	02_2149517-	3.12	1	50.1491	47.3346	44.52	89.3534	7.7	2.81455	0.931	Blue_2012	33537	TRUE	2.149517	TRUE
494	2	77.387	02_7185126-02_8025039	2.77	1	50.1038	47.3701	44.6365	90.1608	6.8	2.73367	0.898	Blue_2012	33614	TRUE	7.185126	TRUE
2557	7	201.73	07_20280812	2.13	1	49.7892	47.4891	45.189	91.6375	5.3	2.30009	1	Blue_2012	35677	TRUE	20.280812	TRUE
2575	7	215.565	07_31490409	2.34	1	49.7071	47.3158	44.9246	91.1625	5.8	2.39126	0.994	Blue_2012	35695	TRUE	31.490409	TRUE
2850	8	95.815	08_9054795	13.54	1	52.2366	46.8426	41.4486	68.4436	29.3	5.39399	1	Blue_2012	35970	TRUE	9.054795	TRUE
3297	9	103.718	09_8314206	2.46	1	49.995	47.5428	45.0906	90.8697	6.1	2.4522	1	Blue_2012	36417	TRUE	8.314206	TRUE
3317	9	115.685	09_13420254-09_15059933	2.35	1	49.9572	47.5425	45.1278	91.1285	5.8	2.41472	0.985	Blue_2012	36437	TRUE	13.420254	TRUE
3368	9	150.312	09_28487973-09_22111648	2.53	1	50.015	47.4969	44.9788	90.7081	6.3	2.51808	0.982	Blue_2012	36488	TRUE	28.487973	TRUE
3421	9	192.551	09_35873104-09_37357930	2.53	1	50.1791	47.5615	44.9439	90.717	6.3	2.6176	0.886	Blue_2012	36541	TRUE	35.873104	TRUE
5291	13	372.588	13_35326694	3.81	1	50.5683	47.5685	44.5688	87.7882	9.3	2.99971	1	Blue_2012	38411	TRUE	35.326694	TRUE
6195	15	281.838	15_48629463	2.43	1	49.7467	47.2304	44.7141	90.9447	6	2.51633	0.986	Blue_2012	39315	TRUE	48.629463	TRUE
7315	18	238.36	18_49928560	2.97	1	50.1629	47.5019	44.8409	89.7002	7.3	2.66098	1	Blue_2012	40435	TRUE	49.92856	TRUE
7703	19	155.757	19_37647577	2.45	1	49.9464	47.4882	45.03	90.9062	6.1	2.45818	1	Blue_2012	40823	TRUE	37.647577	TRUE
2584	7	222.17	07_23250635	2.12	1	7.61638	7.07522	6.53407	5.07474	5.3	0.541159	0.999	Seed_weight_2011	43984	TRUE	23.250635	TRUE
2799	8	57.391	08_4038718-08_4113685	2.11	1	7.63795	7.09571	6.55346	5.07562	5.3	0.542247	0.96	Seed_weight_2011	44199	TRUE	4.038718	TRUE
3910	10	259.847	10_43610530	2.1	1	7.64707	7.11607	6.58508	5.07714	5.2	0.530996	1	Seed_weight_2011	45310	TRUE	43.61053	TRUE
4033	11	23.948	11_3120180	2.87	1	7.62346	6.99133	6.35921	4.97796	7.1	0.632124	1	Seed_weight_2011	45433	TRUE	3.12018	TRUE
7160	18	137.926	18_9488720	2.15	1	7.67394	7.13034	6.58675	5.07046	5.4	0.543597	0.993	Seed_weight_2011	48560	TRUE	9.48872	TRUE
7194	18	162.873	18_16111543	2.03	1	7.72833	7.18768	6.64702	5.08618	5.1	0.540651	0.995	Seed_weight_2011	48594	TRUE	16.111543	TRUE
7513	19	18.659	19_752553-19_918442	2.19	1	7.68845	7.1251	6.56174	5.06559	5.4	0.563355	0.948	Seed_weight_2011	48913	TRUE	0.752553	TRUE
8047	20	80.753	20_4787436	2.01	1	7.67982	7.1538	6.62779	5.08885	5	0.526015	0.988	Seed_weight_2011	49447	TRUE	4.787436	TRUE
8143	20	145.328	20_32827066	2.94	1	7.79071	7.15905	6.5274	4.96933	7.2	0.631653	0.988	Seed_weight_2011	49543	TRUE	32.827066	TRUE
7	1	3.722	01_469930	2.36	1	7.37524	6.91376	6.45228	3.14856	6.2	0.461477	0.999	Seed_weight_2012	49687	TRUE	0.46993	TRUE
413	2	13.394	02_1962706	2.23	1	7.27169	6.82439	6.37708	3.15984	5.9	0.447307	0.995	Seed_weight_2012	50093	TRUE	1.962706	TRUE
2470	7	138.228	07_11240910	2.48	1	7.37495	6.90176	6.42857	3.13843	6.5	0.473191	1	Seed_weight_2012	52150	TRUE	11.24091	TRUE
2567	7	209.345	07_26551205	2.66	1	7.33898	6.8524	6.36582	3.12257	7	0.48658	0.985	Seed_weight_2012	52247	TRUE	26.551205	TRUE
2849	8	95.525	08_8679152	3.43	1	7.36349	6.80493	6.24636	3.05825	8.9	0.558562	1	Seed_weight_2012	52529	TRUE	8.679152	TRUE
3375	9	153.701	09_24930237	2.16	1	7.32637	6.88936	6.45236	3.1656	5.7	0.437007	1	Seed_weight_2012	53055	TRUE	24.930237	TRUE
4032	11	23.527	11_2995367-11_3120180	2.57	1	7.28362	6.78971	6.29579	3.13029	6.7	0.493912	0.972	Seed_weight_2012	53712	TRUE	2.995367	TRUE
4470	12	103.205	12_6512311	2.21	1	7.32295	6.87718	6.43141	3.16163	5.8	0.445767	0.998	Seed_weight_2012	54150	TRUE	6.512311	TRUE
4535	12	150.436	12_15052012	2.82	1	7.34695	6.84121	6.33547	3.10913	7.4	0.505739	1	Seed_weight_2012	54215	TRUE	15.052012	TRUE
4595	12	190.11	12_23111342	3.37	1	7.39978	6.84981	6.29984	3.06308	8.7	0.549973	0.995	Seed_weight_2012	54275	TRUE	23.111342	TRUE
4663	12	234.754	12_33283015	6.65	1	7.62915	6.86944	6.10973	2.80294	16.5	0.759709	1	Seed_weight_2012	54343	TRUE	33.283015	TRUE
5853	15	25.631	15_1615813	2.31	1	7.26569	6.80636	6.34703	3.15244	6.1	0.459333	0.993	Seed_weight_2012	55533	TRUE	1.615813	TRUE
5948	15	98.027	15_7891365	2.36	1	7.34101	6.88466	6.42831	3.14815	6.2	0.456351	1	Seed_weight_2012	55628	TRUE	7.891365	TRUE
6436	16	149.365	16_28997668	4.14	1	7.48887	6.88601	6.28316	3.00011	10.6	0.602858	0.986	Seed_weight_2012	56116	TRUE	28.997668	TRUE
8043	20	77.945	20_4483089	3.27	1	7.42197	6.88425	6.34652	3.07182	8.5	0.537723	0.988	Seed_weight_2012	57723	TRUE	4.483089	TRUE
8079	20	104.167	20_11347606	2.82	1	7.38446	6.88278	6.38109	3.10913	7.4	0.501683	1	Seed_weight_2012	57759	TRUE	11.347606	TRUE
8124	20	133.601	20_28332071	3.1	1	7.41914	6.89251	6.36588	3.08583	8.1	0.526626	1	Seed_weight_2012	57804	TRUE	28.332071	TRUE
8262	20	244.705	20_42157327-20_42091969	3.34	1	7.37236	6.81741	6.26247	3.066	8.6	0.554944	0.975	Seed_weight_2012	57942	TRUE	42.157327	TRUE
8	1	4.04	01_528621	3.06	1	7.2628	6.77118	6.27956	2.73168	7.7	0.491622	0.996	Seed_weight_2013	57968	TRUE	0.528621	TRUE
470	2	57.126	02_4891204	2.41	1	7.12246	6.69336	6.26426	2.77896	6.1	0.429101	0.988	Seed_weight_2013	58430	TRUE	4.891204	TRUE
680	2	221.536	02_40055126	2.26	1	7.10103	6.67688	6.25273	2.78957	5.7	0.42415	0.994	Seed_weight_2013	58640	TRUE	40.055126	TRUE
1122	4	33.436	04_4093911	3.25	1	7.16018	6.65851	6.15684	2.71834	8.2	0.501668	0.995	Seed_weight_2013	59082	TRUE	4.093911	TRUE
1191	4	87.806	04_42356460	2.43	1	7.14293	6.71296	6.28299	2.77704	6.2	0.429974	1	Seed_weight_2013	59151	TRUE	42.35646	TRUE
2497	7	157.241	07_15481416	3.3	1	7.20147	6.70195	6.20242	2.71498	8.3	0.499524	0.995	Seed_weight_2013	60457	TRUE	15.481416	TRUE
2567	7	209.345	07_26551205	3.46	1	7.19356	6.68256	6.17157	2.70324	8.7	0.510992	0.985	Seed_weight_2013	60527	TRUE	26.551205	TRUE
3369	9	150.475	09_22111648	2.66	1	7.17759	6.72505	6.27251	2.76063	6.7	0.45254	1	Seed_weight_2013	61329	TRUE	22.111648	TRUE
3391	9	166.527	09_33799475-	2.27	1	7.13071	6.70672	6.28274	2.78918	5.8	0.423987	0.954	Seed_weight_2013	61351	TRUE	33.799475	TRUE
4034	11	24.948	11_3120180-11_3520074	3.36	1	7.14656	6.62156	6.09656	2.71049	8.4	0.524999	0.959	Seed_weight_2013	61994	TRUE	3.12018	TRUE
4202	11	155.446	11_12818547	2.64	1	7.23342	6.77849	6.32357	2.76218	6.7	0.454928	0.995	Seed_weight_2013	62162	TRUE	12.818547	TRUE
4663	12	234.754	12_33283015	3.35	1	7.22221	6.71314	6.20408	2.71097	8.4	0.509064	1	Seed_weight_2013	62623	TRUE	33.283015	TRUE
5656	14	118.77	14_21836161	2.65	1	7.15419	6.70633	6.25847	2.7616	6.7	0.447858	0.995	Seed_weight_2013	63616	TRUE	21.836161	TRUE
5762	14	194.614	14_45538083	2.44	1	7.15787	6.72736	6.29684	2.7765	6.2	0.430514	0.994	Seed_weight_2013	63722	TRUE	45.538083	TRUE
5948	15	98.027	15_7891365	2.54	1	7.16347	6.72761	6.29176	2.76962	6.4	0.435852	1	Seed_weight_2013	63908	TRUE	7.891365	TRUE
6391	16	119.04	16_9765521-16_9251403	2.03	1	7.13157	6.73255	6.33353	2.80627	5.2	0.399017	0.975	Seed_weight_2013	64351	TRUE	9.765521	TRUE
6417	16	135.993	16_26270304	2.67	1	7.2374	6.77985	6.32229	2.76012	6.7	0.457558	0.978	Seed_weight_2013	64377	TRUE	26.270304	TRUE
7126	18	113.54	18_7285634	2.56	1	7.14383	6.69699	6.25015	2.76767	6.5	0.446839	0.981	Seed_weight_2013	65086	TRUE	7.285634	TRUE
7223	18	178.887	18_41231235	2.27	1	7.13035	6.7163	6.30224	2.78924	5.8	0.414052	0.995	Seed_weight_2013	65183	TRUE	41.231235	TRUE
7532	19	32.721	19_2171594-19_2242461	3.06	1	7.24929	6.76208	6.27487	2.73156	7.7	0.48721	0.986	Seed_weight_2013	65492	TRUE	2.171594	TRUE
8047	20	80.753	20_4787436	2.26	1	7.18396	6.76551	6.34706	2.78976	5.7	0.418451	0.988	Seed_weight_2013	66007	TRUE	4.787436	TRUE
8143	20	145.328	20_32827066	2.28	1	7.18838	6.7677	6.34702	2.78794	5.8	0.420679	0.988	Seed_weight_2013	66103	TRUE	32.827066	TRUE
8258	20	241.529	20_42924972-20_42179321	3.13	1	7.19127	6.67803	6.16478	2.72664	7.9	0.513246	0.901	Seed_weight_2013	66218	TRUE	42.924972	TRUE
485	2	69.057	02_5984267	3.47	1	5.751	5.44962	5.14825	0.842141	9.4	0.301373	0.968	Stem_size_2_node_2013	66725	TRUE	5.984267	TRUE
1160	4	67.175	04_9484691	2.77	1	5.71163	5.44305	5.17446	0.859137	7.6	0.268585	1	Stem_size_2_node_2013	67400	TRUE	9.484691	TRUE
1195	4	89.996	04_36209714	2.02	1	5.67938	5.44842	5.21747	0.877748	5.6	0.230952	0.98	Stem_size_2_node_2013	67435	TRUE	36.209714	TRUE
1268	4	136.201	04_45836174	2.74	1	5.727	5.4614	5.1958	0.859801	7.5	0.265599	1	Stem_size_2_node_2013	67508	TRUE	45.836174	TRUE
2821	8	74.834	08_6246524	3.95	1	5.7926	5.47478	5.15696	0.830502	10.7	0.317819	0.997	Stem_size_2_node_2013	69061	TRUE	6.246524	TRUE
2903	8	133.72	08_11673131	3.16	1	5.7233	5.43468	5.14606	0.849539	8.6	0.288619	0.99	Stem_size_2_node_2013	69143	TRUE	11.673131	TRUE
3327	9	121.546	09_14379717	2.05	1	5.6925	5.45889	5.22527	0.876812	5.7	0.233612	0.993	Stem_size_2_node_2013	69567	TRUE	14.379717	TRUE
3357	9	142.74	09_30961737	2.22	1	5.70939	5.46771	5.22603	0.872583	6.2	0.241681	1	Stem_size_2_node_2013	69597	TRUE	30.961737	TRUE
4002	11	0.987	11_419982	2.25	1	5.69113	5.4481	5.20507	0.87184	6.2	0.243027	0.999	Stem_size_2_node_2013	70242	TRUE	0.419982	TRUE
4088	11	69.344	11_6884131	2.1	1	5.69224	5.45714	5.22204	0.875587	5.8	0.235099	0.993	Stem_size_2_node_2013	70328	TRUE	6.884131	TRUE
5026	13	175.227	13_23043289	2.56	1	5.78581	5.52144	5.25708	0.864123	7.1	0.264368	0.989	Stem_size_2_node_2013	71266	TRUE	23.043289	TRUE
5175	13	281.565	13_31203791-13_30419034	3.45	1	5.81321	5.50252	5.19184	0.842531	9.4	0.310686	0.933	Stem_size_2_node_2013	71415	TRUE	31.203791	TRUE
5368	13	427.565	13_39579307	5.81	1	5.88374	5.50358	5.12342	0.787627	15.3	0.380156	0.995	Stem_size_2_node_2013	71608	TRUE	39.579307	TRUE
7527	19	28.953	19_1353843-19_2167576	7.61	1	5.91747	5.46661	5.01575	0.747903	19.6	0.450857	0.897	Stem_size_2_node_2013	73767	TRUE	1.353843	TRUE
7674	19	137.149	19_35651504	4.48	1	5.78878	5.4543	5.11981	0.818152	12	0.334485	0.995	Stem_size_2_node_2013	73914	TRUE	35.651504	TRUE
2094	6	224.401	06_20312314-06_19395795	13.1	1	49.8204	47.536	45.2515	12.8588	28.5	2.28447	0.998	Protein_2011	76614	TRUE	20.312314	TRUE
2116	6	239.333	06_28894496-06_21984709	8.72	1	49.445	47.4543	45.4637	14.3815	20	1.99065	0.953	Protein_2011	76636	TRUE	28.894496	TRUE
2154	6	268.273	06_39743079	8.98	1	49.5574	47.6158	45.6741	14.288	20.5	1.94165	1	Protein_2011	76674	TRUE	39.743079	TRUE
2184	6	289.716	06_45200838-06_45344666	5.42	1	49.2436	47.6724	46.1012	15.6518	12.9	1.57123	0.966	Protein_2011	76704	TRUE	45.200838	TRUE
2836	8	84.596	08_7612869-08_7656665	8.24	1	46.1113	48.0001	49.8889	14.5604	19	-1.88881	0.976	Protein_2011	77356	TRUE	7.612869	TRUE
3205	9	32.954	09_2556374-09_2966837	4.01	1	46.5682	47.9656	49.3631	16.2239	9.8	-1.39744	0.932	Protein_2011	77725	TRUE	2.556374	TRUE
3297	9	103.718	09_8314206	2.24	1	46.7836	47.7931	48.8025	16.976	5.6	-1.00947	1	Protein_2011	77817	TRUE	8.314206	TRUE
4942	13	105.826	13_19868353-13_20155349	3.21	1	46.5005	47.7277	48.955	16.5607	7.9	-1.22726	0.962	Protein_2011	79462	TRUE	19.868353	TRUE
5864	15	34.551	15_2321231-15_3380704	4.93	1	46.5369	48.0847	49.6325	15.8454	11.9	-1.54779	0.928	Protein_2011	80384	TRUE	2.321231	TRUE
6773	17	166.043	17_12737227	3.68	1	48.8913	47.5944	46.2974	16.3608	9	1.29696	0.989	Protein_2011	81293	TRUE	12.737227	TRUE
6861	17	228.288	17_24460647	2.97	1	48.9181	47.769	46.6199	16.6639	7.3	1.14909	0.996	Protein_2011	81381	TRUE	24.460647	TRUE
7001	18	15.47	18_830129	2.43	1	46.8578	47.9157	48.9736	16.8947	6	-1.05787	1	Protein_2011	81521	TRUE	0.830129	TRUE
8028	20	69.367	20_2916159	6.03	1	46.072	47.6932	49.3145	15.4068	14.3	-1.62125	0.991	Protein_2011	82548	TRUE	2.916159	TRUE
8058	20	87.689	20_23793402	6.18	1	46.0749	47.7388	49.4028	15.3482	14.6	-1.66395	0.991	Protein_2011	82578	TRUE	23.793402	TRUE
1178	4	79.082	04_15937967	2.73	1	60.6027	53.8518	47.1009	607.469	6.8	6.75091	1	Seed_weight_per_plant_2012	83978	TRUE	15.937967	TRUE
1247	4	120.598	04_43910521	2.35	1	60.3353	54.0104	47.6855	613.381	5.9	6.32488	1	Seed_weight_per_plant_2012	84047	TRUE	43.910521	TRUE
3962	10	305.896	10_48649271	2.21	1	48.6952	54.7492	60.8032	615.559	5.5	-6.05397	1	Seed_weight_per_plant_2012	86762	TRUE	48.649271	TRUE
4457	12	93.476	12_5797776	3.12	1	47.0805	54.2042	61.3278	601.36	7.7	-7.12365	1	Seed_weight_per_plant_2012	87257	TRUE	5.797776	TRUE
6982	18	0	18_475000	2.19	1	59.795	53.7334	47.6718	615.952	5.5	6.0616	1	Seed_weight_per_plant_2012	89782	TRUE	0.475	TRUE
7826	19	251.024	19_44443198	4.09	1	45.7084	53.8205	61.9326	586.531	10	-8.11206	1	Seed_weight_per_plant_2012	90626	TRUE	44.443198	TRUE
8052	20	84.337	20_6101553	2.18	1	61.1631	55.1826	49.2022	616.08	5.4	5.98047	1	Seed_weight_per_plant_2012	90852	TRUE	6.101553	TRUE
1142	4	51.28	04_5617922-04_8594282	2.73	1	54.0829	46.3567	38.6304	516.446	6.7	7.72625	0.657	Seed_weight_per_plant_2011	92222	TRUE	5.617922	TRUE
1219	4	102.609	04_40982608	2.78	1	53.5559	47.351	41.146	515.722	6.9	6.20496	0.994	Seed_weight_per_plant_2011	92299	TRUE	40.982608	TRUE
2850	8	95.815	08_9054795	3.03	1	53.2749	46.7611	40.2473	512.424	7.5	6.51379	1	Seed_weight_per_plant_2011	93930	TRUE	9.054795	TRUE
4001	11	0	11_383900	2.13	1	52.4961	46.9674	41.4387	524.369	5.3	5.52868	0.988	Seed_weight_per_plant_2011	95081	TRUE	0.3839	TRUE
4449	12	87.616	12_5571165	3.2	1	40.6353	47.2984	53.9614	510.162	7.9	-6.66305	1	Seed_weight_per_plant_2011	95529	TRUE	5.571165	TRUE
7080	18	79.011	18_4259142	2.55	1	53.1199	47.1599	41.1998	518.779	6.3	5.96005	1	Seed_weight_per_plant_2011	98160	TRUE	4.259142	TRUE
813	3	79.766	03_7602367	2.47	1	37.4443	33.6648	29.8852	210.994	6.2	3.77955	0.994	Branch_number_stadev_2013	100173	TRUE	7.602367	TRUE
832	3	92.71	03_26521294	2.38	1	37.4604	33.7213	29.9822	211.458	6	3.73909	0.983	Branch_number_stadev_2013	100192	TRUE	26.521294	TRUE
5365	13	426.634	13_39583584	3.38	1	28.8333	33.2013	37.5694	206.043	8.4	-4.36803	1	Branch_number_stadev_2013	104725	TRUE	39.583584	TRUE
7172	18	147.53	18_10941968	2.15	1	29.5905	33.1247	36.6588	212.758	5.4	-3.53418	0.998	Branch_number_stadev_2013	106532	TRUE	10.941968	TRUE
7524	19	26.601	19_1524194	2.49	1	29.5241	33.3196	37.1151	210.845	6.3	-3.7955	0.992	Branch_number_stadev_2013	106884	TRUE	1.524194	TRUE
8068	20	94.796	20_20709741	2.44	1	29.4807	33.2798	37.0789	211.122	6.2	-3.79906	0.979	Branch_number_stadev_2013	107428	TRUE	20.709741	TRUE
4136	11	103.892	11_8951190	2.07	1	75.3932	85.1778	94.9624	1666.68	5.2	-9.78459	1	Branch_number_node01_2013	111776	TRUE	8.95119	TRUE
4455	12	92.264	12_5797886	5.08	1	67.9653	83.2657	98.5662	1541.18	12.4	-15.3005	0.989	Branch_number_node01_2013	112095	TRUE	5.797886	TRUE
7847	19	267.574	19_45322411-19_45523455	6.33	1	64.4142	81.4532	98.4921	1491.7	15.2	-17.039	0.955	Branch_number_node01_2013	115487	TRUE	45.322411	TRUE
4113	11	86.865	11_7490974	2.1	1	74.2711	83.8275	93.3839	1593.13	5.3	-9.55643	0.998	Branch_number_node02_2013	120033	TRUE	7.490974	TRUE
4456	12	93.264	12_5797886-12_5797776	4.93	1	67.6577	82.2032	96.7487	1479.99	12	-14.5455	0.975	Branch_number_node02_2013	120376	TRUE	5.797886	TRUE
4553	12	161.403	12_14615264-12_16108975	3.72	1	71.0621	83.8884	96.7148	1527.14	9.2	-12.8264	0.964	Branch_number_node02_2013	120473	TRUE	14.615264	TRUE
4613	12	202.25	12_27045219	4.29	1	70.5456	83.9939	97.4422	1504.76	10.6	-13.4483	0.995	Branch_number_node02_2013	120533	TRUE	27.045219	TRUE
4670	12	239.079	12_33314749	2.29	1	72.3076	82.4906	92.6736	1585.34	5.8	-10.183	0.993	Branch_number_node02_2013	120590	TRUE	33.314749	TRUE
7844	19	265.155	19_45326595	6.7	1	65.2073	81.8922	98.5771	1413.21	16	-16.6849	0.968	Branch_number_node02_2013	123764	TRUE	45.326595	TRUE
129	1	97.325	01_17043541	2.2	1	93.2816	82.4178	71.5541	1949.1	5.6	10.8637	1	Branch_number_node03_2013	124329	TRUE	17.043541	TRUE
1274	4	140.54	04_45871877	2.42	1	95.2025	83.8167	72.4308	1938.13	6.1	11.3859	0.995	Branch_number_node03_2013	125474	TRUE	45.871877	TRUE
