id	chromosome_number	start_mb	stop_mb
Glyma.01g006900	1	671149	674564
Glyma.01g007000	1	681557	683847
Glyma.01g007100	1	707570	708601
Glyma.01g007200	1	730042	735381
Glyma.01g007300	1	736361	740960
Glyma.01g007400	1	742024	745606
Glyma.01g007500	1	746804	750737
Glyma.01g007600	1	752482	756771
Glyma.01g007700	1	759038	761554
Glyma.01g007800	1	763291	771911
Glyma.01g007900	1	774324	780026
Glyma.01g008000	1	779555	783740
Glyma.01g008100	1	787097	791147
Glyma.01g008200	1	802095	812507
Glyma.01g008300	1	813496	815748
Glyma.01g008400	1	818047	823167
Glyma.01g008500	1	827132	832098
Glyma.01g008600	1	837682	840121
Glyma.01g008700	1	841903	854296
Glyma.01g008800	1	861997	864605
Glyma.01g008900	1	865285	873763
Glyma.01g009000	1	882738	883553
Glyma.01g009100	1	897628	900082
Glyma.01g009200	1	901695	903187
Glyma.01g009300	1	908484	917161
Glyma.01g009400	1	920066	926129
Glyma.01g009500	1	934715	936944
Glyma.01g009600	1	937652	940822
Glyma.01g009700	1	952611	956924
Glyma.01g009800	1	959845	963550
Glyma.01g009900	1	967283	971604
Glyma.01g010000	1	973266	978674
Glyma.01g010100	1	980614	987665
Glyma.01g010200	1	993024	997480
Glyma.01g010300	1	1001210	1006864
Glyma.01g010400	1	1009200	1013846
Glyma.01g010500	1	1018533	1021955
Glyma.01g010600	1	1023389	1026035
Glyma.01g010700	1	1029283	1033685
Glyma.01g010800	1	1036293	1043767
Glyma.01g010900	1	1047531	1051340
Glyma.01g011000	1	1053128	1053792
Glyma.01g011100	1	1057125	1061925
Glyma.01g011200	1	1066465	1073644
Glyma.01g011300	1	1084424	1087061
Glyma.01g011400	1	1087724	1091143
Glyma.01g011500	1	1091564	1095405
Glyma.01g011600	1	1122016	1126673
Glyma.01g011700	1	1130669	1132629
Glyma.01g011800	1	1134872	1136320
Glyma.01g011900	1	1140332	1146805
Glyma.01g012000	1	1157100	1161503
Glyma.01g012100	1	1162070	1167484
Glyma.01g012200	1	1181837	1185096
Glyma.01g012300	1	1193004	1194457
Glyma.01g012400	1	1197820	1201968
Glyma.01g012500	1	1204032	1208621
Glyma.01g012600	1	1207929	1208531
Glyma.01g012700	1	1211160	1216306
Glyma.01g012800	1	1220267	1224974
Glyma.01g012900	1	1228018	1230052
Glyma.01g013000	1	1232056	1232591
Glyma.01g013100	1	1233755	1237513
Glyma.01g013200	1	1245513	1250153
Glyma.01g013300	1	1267962	1275041
Glyma.01g013400	1	1278300	1280130
Glyma.01g013500	1	1284193	1292972
Glyma.01g013600	1	1302163	1312433
Glyma.01g013700	1	1309915	1310645
Glyma.01g013800	1	1314163	1316550
Glyma.01g013900	1	1327885	1331315
Glyma.01g014000	1	1337737	1342734
Glyma.01g014100	1	1352031	1357445
Glyma.01g014200	1	1371903	1382029
Glyma.01g014300	1	1386439	1387102
Glyma.01g014400	1	1389107	1393444
Glyma.01g014500	1	1394486	1397925
Glyma.01g014600	1	1404289	1411232
Glyma.01g014700	1	1427800	1434338
Glyma.01g0148002	1	1459585	1462094
Glyma.01g0148001	1	1463543	1464612
Glyma.01g014900	1	1479986	1484286
Glyma.01g015000	1	1485325	1491704
Glyma.01g015100	1	1496846	1500010
Glyma.01g015200	1	1501239	1505312
Glyma.01g015300	1	1507119	1508864
Glyma.01g015400	1	1510354	1511458
Glyma.01g015500	1	1516447	1519964
Glyma.01g015600	1	1522027	1527320
Glyma.01g015700	1	1528792	1532355
Glyma.01g015800	1	1533147	1534160
Glyma.01g015900	1	1536576	1540311
Glyma.01g016000	1	1547216	1547437
Glyma.01g016100	1	1548355	1551672
Glyma.01g016200	1	1553067	1556242
Glyma.01g016300	1	1555182	1556040
Glyma.01g016400	1	1560698	1564822
Glyma.01g016500	1	1573790	1583422
Glyma.01g016600	1	1592908	1595410
Glyma.01g016700	1	1599357	1600466
Glyma.01g016800	1	1609124	1612598
Glyma.01g016900	1	1614637	1619559
Glyma.01g017000	1	1622886	1624365
Glyma.01g017100	1	1634013	1637492
Glyma.01g017200	1	1642862	1643728
Glyma.01g017300	1	1648449	1650121
Glyma.01g017400	1	1653678	1657140
Glyma.01g017500	1	1662657	1663915
Glyma.01g017600	1	1673427	1674421
Glyma.01g017700	1	1689030	1691957
Glyma.01g017800	1	1722270	1723518
Glyma.01g017900	1	1734474	1735545
Glyma.01g018000	1	1736217	1737749
Glyma.01g018100	1	1745243	1746141
Glyma.01g018200	1	1748639	1749703
Glyma.01g018300	1	1750027	1754223
Glyma.01g018400	1	1772897	1774869
Glyma.01g018500	1	1782875	1783916
Glyma.01g018600	1	1783917	1787272
Glyma.01g018700	1	1790049	1792039
Glyma.01g018800	1	1803842	1805405
Glyma.01g018900	1	1814560	1817417
Glyma.01g019000	1	1818232	1821908
Glyma.01g019100	1	1826798	1836387
Glyma.01g019200	1	1839153	1846859
Glyma.01g019300	1	1865692	1868540
Glyma.01g019400	1	1886628	1890851
Glyma.01g019500	1	1905829	1906826
Glyma.01g019600	1	1929870	1932580
Glyma.01g019700	1	1941089	1943035
Glyma.01g019800	1	1971084	1977113
Glyma.01g019900	1	1979213	1984198
Glyma.01g020000	1	1990783	1994783
Glyma.01g020100	1	1999880	2008419
Glyma.01g020200	1	2009725	2010906
Glyma.01g020300	1	2011230	2020186
Glyma.01g020400	1	2035445	2036241
Glyma.01g020500	1	2039275	2056055
Glyma.01g020600	1	2067151	2067966
Glyma.01g020700	1	2069065	2069931
Glyma.01g020800	1	2092161	2100211
Glyma.01g020900	1	2104937	2109784
Glyma.01g021000	1	2122589	2125447
Glyma.01g021100	1	2140441	2142143
Glyma.01g021200	1	2148822	2155157
Glyma.01g021300	1	2159641	2163970
Glyma.01g021400	1	2171115	2176385
Glyma.01g021500	1	2186117	2186869
Glyma.01g021600	1	2189923	2194362
Glyma.01g021700	1	2197811	2200232
Glyma.01g021800	1	2202117	2203202
Glyma.01g021900	1	2205370	2206736
Glyma.01g022000	1	2209688	2210849
Glyma.01g022100	1	2210751	2211738
Glyma.01g022200	1	2212834	2213622
Glyma.01g022300	1	2215383	2217438
Glyma.01g0224002	1	2235786	2236837
Glyma.01g0224001	1	2239362	2241294
Glyma.01g022500	1	2246170	2251398
Glyma.01g022600	1	2281410	2286917
Glyma.01g022700	1	2287485	2293185
Glyma.01g0228002	1	2296901	2296940
Glyma.01g0228001	1	2298566	2303966
Glyma.01g022900	1	2304042	2308423
Glyma.01g023000	1	2314359	2317518
Glyma.01g023100	1	2327716	2330874
Glyma.01g023200	1	2331638	2339135
Glyma.01g023300	1	2343215	2348080
Glyma.01g023400	1	2363290	2365720
Glyma.01g023500	1	2367321	2373449
Glyma.01g023600	1	2380849	2402441
Glyma.01g023700	1	2405107	2414341
Glyma.01g023800	1	2426625	2433075
Glyma.01g023900	1	2433777	2442737
Glyma.01g024000	1	2455767	2457198
Glyma.01g024100	1	2462884	2465300
Glyma.01g024200	1	2471111	2473720
Glyma.01g024300	1	2484222	2486235
Glyma.01g024400	1	2491294	2493664
Glyma.01g024500	1	2502596	2504339
Glyma.01g024600	1	2504633	2507081
Glyma.01g024700	1	2529244	2531919
Glyma.01g024800	1	2537581	2544862
Glyma.01g024900	1	2550549	2551651
Glyma.01g025000	1	2558045	2560286
Glyma.01g025100	1	2601431	2602687
Glyma.01g025200	1	2616281	2621186
Glyma.01g025300	1	2649510	2652292
Glyma.01g025400	1	2683720	2685268
Glyma.01g025500	1	2699503	2701968
Glyma.01g025600	1	2702813	2706006
Glyma.01g025700	1	2712747	2712902
Glyma.01g025800	1	2714436	2715928
Glyma.01g025900	1	2731088	2731862
Glyma.01g026000	1	2732449	2740742
Glyma.01g026100	1	2741832	2744918
Glyma.01g026200	1	2747392	2755356
Glyma.01g026300	1	2757742	2760499
Glyma.01g026400	1	2765244	2767576
Glyma.01g026500	1	2768571	2771462
Glyma.01g026600	1	2781491	2782600
Glyma.01g026700	1	2800909	2808407
Glyma.01g026800	1	2819064	2823273
Glyma.01g026900	1	2829921	2833313
Glyma.01g027000	1	2836310	2838537
Glyma.01g027100	1	2841569	2846006
Glyma.01g027200	1	2848182	2849925
Glyma.01g027300	1	2852073	2856865
Glyma.01g027400	1	2859609	2863397
Glyma.01g027500	1	2874408	2877212
Glyma.01g027600	1	2884478	2887943
Glyma.01g027700	1	2889242	2892328
Glyma.01g027800	1	2895690	2900577
Glyma.01g027900	1	2912340	2915599
Glyma.01g028000	1	2923915	2927479
Glyma.01g028100	1	2929035	2934455
Glyma.01g028200	1	2934903	2938421
Glyma.01g028300	1	2948608	2957378
Glyma.01g028400	1	2998371	2999567
Glyma.01g028500	1	2999967	3001495
Glyma.01g028600	1	3002314	3007143
Glyma.01g028700	1	3014195	3020497
Glyma.01g028800	1	3037245	3038559
Glyma.01g028900	1	3060271	3064492
Glyma.01g029000	1	3079661	3082412
Glyma.01g029100	1	3084233	3090081
Glyma.01g029200	1	3098701	3100169
Glyma.01g029300	1	3107239	3109811
Glyma.01g029400	1	3123489	3124811
Glyma.01g029500	1	3130778	3135499
Glyma.01g029600	1	3137027	3140461
Glyma.01g029700	1	3140702	3142591
Glyma.01g029800	1	3148712	3151772
Glyma.01g029900	1	3152131	3157338
Glyma.01g030000	1	3159945	3161005
Glyma.01g030100	1	3163363	3164551
Glyma.01g030200	1	3167272	3172978
Glyma.01g030300	1	3178070	3179538
Glyma.01g030400	1	3182949	3187700
Glyma.01g030500	1	3189212	3200277
Glyma.01g030600	1	3202613	3206095
Glyma.01g030700	1	3204824	3205142
Glyma.01g030800	1	3208232	3215706
Glyma.01g030900	1	3234395	3237574
Glyma.01g031000	1	3242360	3244328
Glyma.01g031100	1	3245447	3246270
Glyma.01g031200	1	3248437	3251412
Glyma.01g031300	1	3257841	3260562
Glyma.01g031400	1	3264673	3271140
Glyma.01g031500	1	3278502	3282846
Glyma.01g031600	1	3292411	3295255
Glyma.01g031700	1	3298861	3302133
Glyma.01g031800	1	3328121	3334148
Glyma.01g031900	1	3342396	3347771
Glyma.01g032000	1	3363639	3366996
Glyma.01g032100	1	3374233	3387279
Glyma.01g032200	1	3392970	3394819
Glyma.01g032300	1	3396704	3399050
Glyma.01g032400	1	3404831	3411453
Glyma.01g032500	1	3415166	3425683
Glyma.01g032600	1	3428092	3430571
Glyma.01g032700	1	3430682	3431061
Glyma.01g032800	1	3440071	3441480
Glyma.01g032900	1	3455319	3459556
Glyma.01g033000	1	3459557	3462334
Glyma.01g033100	1	3469089	3471498
Glyma.01g033200	1	3487315	3493797
Glyma.01g033300	1	3499474	3504138
Glyma.01g033400	1	3504407	3505708
Glyma.01g033500	1	3514070	3519602
Glyma.01g033600	1	3524820	3525113
Glyma.01g0337002	1	3526381	3528862
Glyma.01g0337001	1	3532237	3533019
Glyma.01g033800	1	3535699	3539383
Glyma.01g033900	1	3545086	3549390
Glyma.01g034000	1	3552796	3554812
Glyma.01g034100	1	3564064	3569598
Glyma.01g034200	1	3565380	3572403
Glyma.01g034300	1	3573149	3579461
Glyma.01g034400	1	3583053	3583811
Glyma.01g034500	1	3585569	3588054
Glyma.01g034600	1	3588552	3590901
Glyma.01g034700	1	3599923	3602578
Glyma.01g034800	1	3605528	3607302
Glyma.01g034900	1	3613545	3615901
Glyma.01g035000	1	3626092	3630869
Glyma.01g035100	1	3634033	3639674
Glyma.01g035200	1	3645633	3650030
Glyma.01g035300	1	3678713	3680543
Glyma.01g035400	1	3692399	3696760
Glyma.01g035500	1	3717226	3717396
Glyma.01g035600	1	3717548	3720581
Glyma.01g035700	1	3738152	3741884
Glyma.01g035800	1	3755286	3756659
Glyma.01g035900	1	3761748	3762981
Glyma.01g036000	1	3770841	3773093
Glyma.01g036100	1	3789929	3790606
Glyma.01g036200	1	3791180	3811591
Glyma.01g036300	1	3813757	3814433
Glyma.01g036400	1	3817388	3817609
Glyma.01g036500	1	3821377	3825854
Glyma.01g036600	1	3860214	3861413
Glyma.01g036700	1	3865168	3872478
Glyma.01g036800	1	3916138	3918004
Glyma.01g036900	1	3922226	3924037
Glyma.01g037000	1	3927491	3927844
Glyma.01g037100	1	3931848	3933221
Glyma.01g037200	1	3946315	3948100
Glyma.01g037300	1	3957877	3962517
Glyma.01g037400	1	3971832	3976198
Glyma.01g037500	1	3986684	3988230
Glyma.01g037600	1	4002360	4005512
Glyma.01g037700	1	4005744	4011110
Glyma.01g037800	1	4011644	4013152
Glyma.01g037900	1	4014621	4016821
Glyma.01g038000	1	4026873	4032291
Glyma.01g038100	1	4033780	4041344
Glyma.01g038200	1	4044806	4045467
Glyma.01g038300	1	4045495	4058118
Glyma.01g038400	1	4092064	4096596
Glyma.01g038500	1	4115990	4118441
Glyma.01g0386002	1	4130643	4132709
Glyma.01g038700	1	4156739	4160713
Glyma.01g038800	1	4162465	4166783
Glyma.01g038900	1	4182744	4185349
Glyma.01g039000	1	4212429	4221344
Glyma.01g039100	1	4235182	4237298
Glyma.01g039200	1	4239455	4243315
Glyma.01g039300	1	4256747	4258161
Glyma.01g039400	1	4270598	4275060
Glyma.01g039500	1	4289457	4295700
Glyma.01g039600	1	4300332	4302844
Glyma.01g039700	1	4304713	4310259
Glyma.01g039800	1	4316464	4321369
Glyma.01g039900	1	4324079	4325876
Glyma.01g040000	1	4336374	4338196
Glyma.01g040100	1	4341457	4342817
Glyma.01g040200	1	4345723	4347332
Glyma.01g040300	1	4353053	4358969
Glyma.01g040400	1	4369831	4378842
Glyma.01g040500	1	4380966	4383169
Glyma.01g040600	1	4389420	4392033
Glyma.01g040700	1	4392159	4393458
Glyma.01g040800	1	4395069	4395257
Glyma.01g040900	1	4396965	4402461
Glyma.01g041000	1	4397506	4397703
Glyma.01g041100	1	4403613	4404643
Glyma.01g041200	1	4420529	4421978
Glyma.01g041300	1	4428651	4434734
Glyma.01g041400	1	4457128	4461721
Glyma.01g041500	1	4485002	4490713
Glyma.01g041600	1	4490538	4496387
Glyma.01g041700	1	4530106	4532731
Glyma.01g041800	1	4557097	4557489
Glyma.01g0419002	1	4559162	4561049
Glyma.01g0419001	1	4561360	4561594
Glyma.01g042000	1	4584964	4585226
Glyma.01g042100	1	4603561	4610141
Glyma.01g042200	1	4610171	4612525
Glyma.01g042300	1	4613542	4618432
Glyma.01g042400	1	4639124	4643385
Glyma.01g042500	1	4645926	4649577
Glyma.01g042600	1	4650283	4652980
Glyma.01g042700	1	4664908	4668011
Glyma.01g042800	1	4671215	4677520
Glyma.01g042900	1	4680672	4682282
Glyma.01g043000	1	4683289	4687883
Glyma.01g043100	1	4693924	4694964
Glyma.01g043200	1	4696767	4697324
Glyma.01g043300	1	4707961	4714222
Glyma.01g043400	1	4728360	4732325
Glyma.01g043500	1	4732281	4733326
Glyma.01g043600	1	4751167	4754842
Glyma.01g043700	1	4755228	4758910
Glyma.01g043800	1	4771957	4777439
Glyma.01g043900	1	4789684	4789977
Glyma.01g044000	1	4828066	4829670
Glyma.01g044100	1	4844360	4848720
Glyma.01g044200	1	4872768	4876635
Glyma.01g044300	1	4877269	4885185
Glyma.01g044400	1	4877822	4878133
Glyma.01g044500	1	4914070	4915216
Glyma.01g044600	1	4922421	4925287
Glyma.01g044700	1	4972924	4974140
Glyma.01g044800	1	4983755	4985423
Glyma.01g044900	1	5023297	5032196
Glyma.01g045000	1	5041216	5041816
Glyma.01g045100	1	5059854	5063734
Glyma.01g045200	1	5106053	5107135
Glyma.01g045300	1	5132710	5135851
Glyma.01g045400	1	5140834	5144197
Glyma.01g045500	1	5226449	5228845
Glyma.01g045600	1	5242432	5245038
Glyma.01g045700	1	5265956	5271379
Glyma.01g045800	1	5277237	5281549
Glyma.01g045900	1	5299765	5300990
Glyma.01g046000	1	5317206	5321170
Glyma.01g046100	1	5324168	5326096
Glyma.01g046200	1	5327037	5330677
Glyma.01g046300	1	5337434	5338915
Glyma.01g046400	1	5353518	5356554
Glyma.01g046500	1	5361968	5365535
Glyma.01g046600	1	5379316	5382027
Glyma.01g046700	1	5385859	5391055
Glyma.01g046800	1	5448322	5450706
Glyma.01g046900	1	5465664	5469257
Glyma.01g047000	1	5484606	5486622
Glyma.01g047100	1	5503526	5511806
Glyma.01g047200	1	5509567	5510429
Glyma.01g047300	1	5514127	5517339
Glyma.01g047400	1	5520517	5524259
Glyma.01g047500	1	5528742	5532260
Glyma.01g047600	1	5545562	5545978
Glyma.01g047700	1	5549606	5554165
Glyma.01g047800	1	5559528	5560353
Glyma.01g047900	1	5585129	5586802
Glyma.01g0480001	1	5596803	5601987
Glyma.01g048100	1	5605305	5607452
Glyma.01g048200	1	5615672	5619252
Glyma.01g048300	1	5620361	5624143
Glyma.01g048400	1	5627602	5631187
Glyma.01g048500	1	5659553	5665638
Glyma.01g048600	1	5668640	5670346
Glyma.01g048700	1	5680982	5681671
Glyma.01g048800	1	5681940	5684496
Glyma.01g048900	1	5695082	5697378
Glyma.01g049000	1	5710637	5711191
Glyma.01g049100	1	5717569	5719993
Glyma.01g049200	1	5736667	5737599
Glyma.01g049300	1	5740729	5741566
Glyma.01g049400	1	5763611	5767687
Glyma.01g049500	1	5802428	5803205
Glyma.01g049600	1	5814082	5816546
Glyma.01g049700	1	5828540	5829148
Glyma.01g049800	1	5833564	5834341
Glyma.01g049900	1	5863028	5863825
Glyma.01g050000	1	5869189	5875883
Glyma.01g050100	1	5887154	5889544
Glyma.01g050200	1	5937299	5938795
Glyma.01g050300	1	5945707	5945982
Glyma.01g050400	1	5963947	5970745
Glyma.01g050500	1	5994189	5997069
Glyma.01g050600	1	6015600	6015962
Glyma.01g050700	1	6026181	6027108
Glyma.01g050800	1	6027753	6027965
Glyma.01g050900	1	6028164	6030169
Glyma.01g051000	1	6037670	6039017
Glyma.01g051100	1	6040337	6040909
Glyma.01g051200	1	6050101	6055660
Glyma.01g051300	1	6060477	6062256
Glyma.01g051400	1	6084443	6094775
Glyma.01g051500	1	6104538	6105839
Glyma.01g051600	1	6114439	6115803
Glyma.01g051700	1	6252995	6254510
Glyma.01g051800	1	6280631	6282369
Glyma.01g051900	1	6298045	6299600
Glyma.01g052000	1	6318111	6319197
Glyma.01g052100	1	6319418	6320580
Glyma.01g052200	1	6327782	6335321
Glyma.01g052300	1	6337006	6343767
Glyma.01g052400	1	6366733	6370404
Glyma.01g052500	1	6371600	6378261
Glyma.01g052600	1	6429215	6439635
Glyma.01g052700	1	6440815	6444119
Glyma.01g052800	1	6451907	6456616
Glyma.01g0529002	1	6518999	6534157
Glyma.01g0529001	1	6538430	6538971
Glyma.01g053000	1	6569222	6569868
Glyma.01g053100	1	6620086	6625502
Glyma.01g053200	1	6632524	6638087
Glyma.01g053300	1	6710590	6717720
Glyma.01g053400	1	6750381	6758391
Glyma.01g053500	1	6750513	6750737
Glyma.01g053600	1	6787041	6793340
Glyma.01g053700	1	6798695	6804489
Glyma.01g053800	1	6810996	6816226
Glyma.01g053900	1	6835875	6836372
Glyma.01g054000	1	6955912	6957783
Glyma.01g054100	1	6959413	6966690
Glyma.01g054200	1	6973767	6977347
Glyma.01g054300	1	6997115	7000465
Glyma.01g054400	1	7002015	7004894
Glyma.01g054500	1	7017265	7022863
Glyma.01g054600	1	7023096	7025153
Glyma.01g054700	1	7072113	7074464
Glyma.01g054800	1	7093897	7097567
Glyma.01g054900	1	7108035	7110521
Glyma.01g055000	1	7113117	7115770
Glyma.01g055100	1	7122525	7123323
Glyma.01g055200	1	7147570	7149067
Glyma.01g055300	1	7150244	7159553
Glyma.01g055400	1	7165678	7167174
Glyma.01g055500	1	7168367	7171683
Glyma.01g055600	1	7178083	7180147
Glyma.01g055700	1	7212719	7214922
Glyma.01g055800	1	7221416	7222744
Glyma.01g055900	1	7228693	7231351
Glyma.01g056000	1	7231999	7235244
Glyma.01g056100	1	7235777	7238343
Glyma.01g056200	1	7266581	7268146
Glyma.01g056300	1	7269225	7273861
Glyma.01g056400	1	7300791	7302992
Glyma.01g056500	1	7305811	7309451
Glyma.01g056600	1	7338640	7340052
Glyma.01g056700	1	7345846	7346070
Glyma.01g056800	1	7371198	7379188
Glyma.01g056900	1	7386180	7388755
Glyma.01g057000	1	7410559	7412709
Glyma.01g057100	1	7507611	7510385
Glyma.01g057200	1	7525703	7533850
Glyma.01g057300	1	7537464	7539817
Glyma.01g057400	1	7574367	7578581
Glyma.01g057500	1	7590837	7598362
Glyma.01g057600	1	7601173	7603134
Glyma.01g057700	1	7604407	7609488
Glyma.01g057800	1	7616115	7620132
Glyma.01g057900	1	7634185	7637147
Glyma.01g058000	1	7642485	7646277
Glyma.01g058100	1	7650228	7650476
Glyma.01g058200	1	7651327	7655874
Glyma.01g058300	1	7673838	7676281
Glyma.01g058400	1	7685939	7692724
Glyma.01g058500	1	7722265	7728511
Glyma.01g058600	1	7754927	7755389
Glyma.01g058700	1	7774549	7777396
Glyma.01g058800	1	7783981	7784431
Glyma.01g058900	1	7789968	7790201
Glyma.01g059000	1	7790857	7792847
Glyma.01g059100	1	7805843	7809582
Glyma.01g059200	1	7809918	7815321
Glyma.01g059300	1	7822613	7823026
Glyma.01g059400	1	7832908	7834120
Glyma.01g059500	1	7834669	7835570
Glyma.01g059600	1	7880023	7882351
Glyma.01g059700	1	7890955	7892527
Glyma.01g059800	1	7923076	7927660
Glyma.01g059900	1	7995614	8000555
Glyma.01g060000	1	8091298	8092694
Glyma.01g060100	1	8107761	8108300
Glyma.01g060200	1	8113871	8119631
Glyma.01g060300	1	8127582	8132640
Glyma.01g060400	1	8231077	8232782
Glyma.01g060500	1	8319096	8320716
Glyma.01g060600	1	8329287	8330293
Glyma.01g060700	1	8369863	8389521
Glyma.01g060800	1	8384174	8388560
Glyma.01g060900	1	8393362	8396017
Glyma.01g061000	1	8397419	8398861
Glyma.01g061100	1	8436335	8438675
Glyma.01g061200	1	8450549	8450870
Glyma.01g061300	1	8451648	8452296
Glyma.01g061400	1	8459276	8460663
Glyma.01g061500	1	8475357	8504398
Glyma.01g061600	1	8485070	8486680
Glyma.01g061700	1	8519069	8527465
Glyma.01g061800	1	8532373	8535077
Glyma.01g061900	1	8561723	8563024
Glyma.01g062000	1	8618076	8623564
Glyma.01g062100	1	8627176	8631264
Glyma.01g062200	1	8632263	8635842
Glyma.01g062300	1	8637396	8642357
Glyma.01g062400	1	8714119	8719741
Glyma.01g062500	1	8770322	8771715
Glyma.01g062600	1	8790495	8791774
Glyma.01g062700	1	8835683	8836129
Glyma.01g062800	1	8838772	8840343
Glyma.01g062900	1	8885316	8889671
Glyma.01g063000	1	8921298	8924709
Glyma.01g063100	1	8957074	8960268
Glyma.01g063200	1	8997438	8998597
Glyma.01g063300	1	9026588	9028080
Glyma.01g063400	1	9046661	9047458
Glyma.01g063500	1	9065973	9068258
Glyma.01g063600	1	9070279	9090635
Glyma.01g063700	1	9099429	9105345
Glyma.01g063800	1	9223274	9225348
Glyma.01g063900	1	9248318	9248605
Glyma.01g064000	1	9261065	9262868
Glyma.01g064100	1	9380928	9394254
Glyma.01g0642002	1	9496107	9496662
Glyma.01g0642001	1	9497939	9500657
Glyma.01g064300	1	9575621	9579344
Glyma.01g064400	1	9624961	9631570
Glyma.01g064500	1	9686112	9687201
Glyma.01g064600	1	9691823	9695967
Glyma.01g064700	1	9824602	9825342
Glyma.01g064800	1	9894560	9895154
Glyma.01g064900	1	9962820	9968245
Glyma.01g065000	1	9996063	9998252
Glyma.01g065100	1	10028909	10034668
Glyma.01g065200	1	10049643	10051324
Glyma.01g065300	1	10052428	10068760
Glyma.01g065400	1	10070740	10076358
Glyma.01g065500	1	10080759	10085887
Glyma.01g065600	1	10100394	10108404
Glyma.01g065700	1	10106380	10108121
Glyma.01g065800	1	10135311	10140529
Glyma.01g065900	1	10184639	10184848
Glyma.01g066000	1	10191246	10193108
Glyma.01g066100	1	10337068	10338889
Glyma.01g066200	1	10383572	10384326
Glyma.01g066300	1	10403999	10405863
Glyma.01g066400	1	10418486	10420607
Glyma.01g066500	1	10550887	10556253
Glyma.01g066600	1	10623940	10629544
Glyma.01g066700	1	10647632	10648614
Glyma.01g066800	1	10650262	10650617
Glyma.01g066900	1	10760980	10762035
Glyma.01g067000	1	10810387	10813383
Glyma.01g067100	1	10917771	10920690
Glyma.01g067200	1	10956610	10960136
Glyma.01g067300	1	10970241	10973414
Glyma.01g067400	1	10986761	10987729
Glyma.01g067500	1	11025006	11025385
Glyma.01g067600	1	11026341	11029542
Glyma.01g067700	1	11103294	11104972
Glyma.01g067800	1	11213067	11214766
Glyma.01g067900	1	11249529	11256939
Glyma.01g068000	1	11288738	11297869
Glyma.01g068100	1	11335559	11337504
Glyma.01g068200	1	11346296	11349027
Glyma.01g068300	1	11379140	11380844
Glyma.01g068400	1	11399522	11399782
Glyma.01g068500	1	11402860	11405432
Glyma.01g068600	1	11500572	11504253
Glyma.01g068700	1	11504351	11504998
Glyma.01g068800	1	11533028	11539379
Glyma.01g068900	1	11564948	11567377
Glyma.01g069000	1	11591579	11592257
Glyma.01g069100	1	11596633	11597523
Glyma.01g069200	1	11644942	11645459
Glyma.01g069300	1	11711747	11712782
Glyma.01g069400	1	11723968	11725079
Glyma.01g069500	1	11731923	11737927
Glyma.01g069600	1	11739592	11741225
Glyma.01g069700	1	11774848	11775318
Glyma.01g069800	1	11786993	11788006
Glyma.01g069900	1	11919484	11920076
