num	chr	marker	cm	bp	group	h	K
126	Chr02	02_10143701	42.895	10143701	2	H	0.001
127	Chr02	02_10828084	45.642	10828084	2	H	0.001
128	Chr02	02_10618540	45.932	10618540	2	H	0.001
129	Chr02	02_12374957	50.883	12374957	2	H	0.001
130	Chr02	02_12640902	52.426	12640902	2	H	0.001
131	Chr02	02_13033274	53.646	13033274	2	H	0.001
132	Chr02	02_13130661	54.241	13130661	2	H	0.001
133	Chr02	02_13478261	54.847	13478261	2	H	0.001
134	Chr02	02_13676910	55.454	13676910	2	H	0.001
135	Chr02	02_13723379	56.352	13723379	2	H	0.001
136	Chr02	02_13748685	56.648	13748685	2	H	0.001
137	Chr02	02_13761444	56.942	13761444	2	H	0.001
138	Chr02	02_13934371	57.534	13934371	2	H	0.001
139	Chr02	02_13979499	57.824	13979499	2	H	0.001
140	Chr02	02_14121613	58.115	14121613	2	H	0.001
141	Chr02	02_14161558	58.404	14161558	2	H	0.001
142	Chr02	02_14229171	58.693	14229171	2	H	0.001
143	Chr02	02_14293082	60.79	14293082	2	H	0.001
144	Chr02	02_14470563	61.667	14470563	2	H	0.001
145	Chr02	02_14917949	67.358	14917949	2	H	0.001
146	Chr02	02_15417200	72.008	15417200	2	H	0.001
147	Chr02	02_15493700	72.307	15493700	2	H	0.001
148	Chr02	02_20406804	78.115	20406804	2	H	0.001
149	Chr02	02_26856754	79.059	26856754	2	H	0.001
150	Chr02	02_27822018	79.367	27822018	2	H	0.001
151	Chr02	02_26518652	82.968	26518652	2	H	0.001
152	Chr02	02_21678242	83.9	21678242	2	H	0.001
153	Chr02	02_19419766	84.488	19419766	2	H	0.001
154	Chr02	02_36499010	86.929	36499010	2	H	0.001
155	Chr02	02_37333569	88.445	37333569	2	H	0.001
156	Chr02	02_38042981	89.037	38042981	2	H	0.001
157	Chr02	02_38330100	89.324	38330100	2	H	0.001
158	Chr02	02_38717133	89.611	38717133	2	H	0.001
159	Chr02	02_38821175	90.19	38821175	2	H	0.001
160	Chr02	02_38881435	90.477	38881435	2	H	0.001
161	Chr02	02_38908307	90.764	38908307	2	H	0.001
162	Chr02	02_38979598	91.342	38979598	2	H	0.001
163	Chr02	02_39244018	93.129	39244018	2	H	0.001
164	Chr02	02_39333124	94.305	39333124	2	H	0.001
165	Chr02	02_39423679	94.594	39423679	2	H	0.001
166	Chr02	02_39445703	95.176	39445703	2	H	0.001
167	Chr02	02_39553236	95.757	39553236	2	H	0.001
168	Chr02	02_39563544	96.339	39563544	2	H	0.001
169	Chr02	02_39775923	96.924	39775923	2	H	0.001
170	Chr02	02_40011099	99.099	40011099	2	H	0.001
171	Chr02	02_40063716	99.398	40063716	2	H	0.001
172	Chr02	02_40456364	100.611	40456364	2	H	0.001
173	Chr02	02_40565506	101.195	40565506	2	H	0.001
174	Chr02	02_40730110	101.488	40730110	2	H	0.001
175	Chr02	02_40817534	103.296	40817534	2	H	0.001
176	Chr02	02_40875934	103.587	40875934	2	H	0.001
177	Chr02	02_41384134	109.419	41384134	2	H	0.001
178	Chr02	02_41683778	110.908	41683778	2	H	0.001
179	Chr02	02_44037267	124.755	44037267	2	H	0.001
180	Chr02	02_44442246	127.152	44442246	2	H	0.001
181	Chr02	02_44539782	127.438	44539782	2	H	0.001
182	Chr02	02_44710834	128.608	44710834	2	H	0.001
183	Chr02	02_44912284	131.66	44912284	2	H	0.001
184	Chr02	02_45159926	132.242	45159926	2	H	0.001
185	Chr02	02_45647542	134.988	45647542	2	H	0.001
186	Chr02	02_45516123	135.279	45516123	2	H	0.001
187	Chr02	02_45844672	137.705	45844672	2	H	0.001
188	Chr02	02_46001849	138.283	46001849	2	H	0.001
189	Chr02	02_46153743	138.861	46153743	2	H	0.001
190	Chr02	02_46430339	142.283	46430339	2	H	0.001
191	Chr02	02_46441136	142.575	46441136	2	H	0.001
192	Chr02	02_46461916	142.867	46461916	2	H	0.001
193	Chr02	02_46584953	145.614	46584953	2	H	0.001
194	Chr02	02_46697848	145.905	46697848	2	H	0.001
195	Chr02	02_47082755	146.787	47082755	2	H	0.001
196	Chr02	02_47210043	147.362	47210043	2	H	0.001
197	Chr02	02_47257062	147.648	47257062	2	H	0.001
198	Chr02	02_47571803	147.935	47571803	2	H	0.001
199	Chr02	02_47262439	148.513	47262439	2	H	0.001
200	Chr02	02_47702730	152.927	47702730	2	H	0.001
201	Chr02	02_47760915	153.218	47760915	2	H	0.001
202	Chr02	02_47945589	153.508	47945589	2	H	0.001
203	Chr02	02_48492434	160.239	48492434	2	H	0.001
204	Chr03	03_1142234	0	1142234	3	H	0.001
205	Chr03	03_299062	6.153	299062	3	H	0.001
206	Chr03	03_245160	6.745	245160	3	H	0.001
207	Chr03	03_205937	7.039	205937	3	H	0.001
208	Chr03	03_172320	8.555	172320	3	H	0.001
209	Chr03	03_320284	11.664	320284	3	H	0.001
210	Chr03	03_509789	12.557	509789	3	H	0.001
211	Chr03	03_565829	13.149	565829	3	H	0.001
212	Chr03	03_591655	13.443	591655	3	H	0.001
213	Chr03	03_875151	15.067	875151	3	H	0.001
214	Chr03	03_1863064	19.13	1863064	3	H	0.001
215	Chr03	03_2192269	23.922	2192269	3	H	0.001
216	Chr03	03_2794215	25.73	2794215	3	H	0.001
217	Chr03	03_3111469	26.026	3111469	3	H	0.001
218	Chr03	03_3327118	28.859	3327118	3	H	0.001
219	Chr03	03_4642708	34.437	4642708	3	H	0.001
220	Chr03	03_3992330	35.944	3992330	3	H	0.001
221	Chr03	03_3956656	40.414	3956656	3	H	0.001
222	Chr03	03_3691222	41.619	3691222	3	H	0.001
223	Chr03	03_3393913	42.211	3393913	3	H	0.001
224	Chr03	03_3929449	43.416	3929449	3	H	0.001
225	Chr03	03_4276534	44.923	4276534	3	H	0.001
226	Chr03	03_4527306	45.508	4527306	3	H	0.001
227	Chr03	03_5357698	45.8	5357698	3	H	0.001
228	Chr03	03_5414992	46.385	5414992	3	H	0.001
229	Chr03	03_5696895	46.688	5696895	3	H	0.001
230	Chr03	03_5906606	46.993	5906606	3	H	0.001
231	Chr03	03_6566305	47.919	6566305	3	H	0.001
232	Chr03	03_10116695	49.482	10116695	3	H	0.001
233	Chr03	03_9825512	49.785	9825512	3	H	0.001
234	Chr03	03_19403881	51.661	19403881	3	H	0.001
235	Chr03	03_19599215	56.611	19599215	3	H	0.001
236	Chr03	03_22632912	57.217	22632912	3	H	0.001
237	Chr03	03_27658954	62.5	27658954	3	H	0.001
238	Chr03	03_33163940	66.676	33163940	3	H	0.001
239	Chr03	03_33758308	69.786	33758308	3	H	0.001
240	Chr03	03_34029176	71.605	34029176	3	H	0.001
241	Chr03	03_34147379	73.102	34147379	3	H	0.001
242	Chr03	03_34429546	77.199	34429546	3	H	0.001
243	Chr03	03_34467296	77.485	34467296	3	H	0.001
244	Chr03	03_34547382	78.352	34547382	3	H	0.001
245	Chr03	03_34650759	78.636	34650759	3	H	0.001
246	Chr03	03_34724265	79.208	34724265	3	H	0.001
247	Chr03	03_34791858	79.492	34791858	3	H	0.001
248	Chr03	03_34875311	79.776	34875311	3	H	0.001
249	Chr03	03_34933369	80.347	34933369	3	H	0.001
250	Chr03	03_35273134	83.686	35273134	3	H	0.001
251	Chr03	03_35452697	83.973	35452697	3	H	0.001
252	Chr03	03_35507990	84.551	35507990	3	H	0.001
253	Chr03	03_35633795	84.84	35633795	3	H	0.001
254	Chr03	03_35707160	85.422	35707160	3	H	0.001
255	Chr03	03_35742542	85.709	35742542	3	H	0.001
256	Chr03	03_35861476	86.581	35861476	3	H	0.001
257	Chr03	03_35939821	87.163	35939821	3	H	0.001
258	Chr03	03_35972631	87.452	35972631	3	H	0.001
259	Chr03	03_36032006	88.036	36032006	3	H	0.001
260	Chr03	03_36339214	88.336	36339214	3	H	0.001
261	Chr03	03_36395079	88.633	36395079	3	H	0.001
262	Chr03	03_36449357	89.868	36449357	3	H	0.001
263	Chr03	03_36702778	92.468	36702778	3	H	0.001
264	Chr03	03_37534700	104.248	37534700	3	H	0.001
265	Chr03	03_37779807	105.439	37779807	3	H	0.001
266	Chr03	03_37851829	106.027	37851829	3	H	0.001
267	Chr03	03_38003673	106.32	38003673	3	H	0.001
268	Chr03	03_38309296	106.612	38309296	3	H	0.001
269	Chr03	03_38644367	107.194	38644367	3	H	0.001
270	Chr03	03_38796254	107.775	38796254	3	H	0.001
271	Chr03	03_38913029	108.064	38913029	3	H	0.001
272	Chr03	03_38996047	108.645	38996047	3	H	0.001
273	Chr03	03_39042164	109.227	39042164	3	H	0.001
274	Chr03	03_39123205	109.516	39123205	3	H	0.001
275	Chr03	03_39224492	109.805	39224492	3	H	0.001
276	Chr03	03_40062294	110.682	40062294	3	H	0.001
277	Chr03	03_40209574	110.975	40209574	3	H	0.001
278	Chr03	03_41225189	113.755	41225189	3	H	0.001
279	Chr03	03_41306254	114.048	41306254	3	H	0.001
280	Chr03	03_41333755	114.636	41333755	3	H	0.001
281	Chr03	03_41410988	115.224	41410988	3	H	0.001
282	Chr03	03_41433626	115.517	41433626	3	H	0.001
283	Chr03	03_41473003	116.105	41473003	3	H	0.001
284	Chr03	03_41566694	116.396	41566694	3	H	0.001
285	Chr03	03_41595432	116.686	41595432	3	H	0.001
286	Chr03	03_42039861	119.45	42039861	3	H	0.001
287	Chr03	03_42724495	123.978	42724495	3	H	0.001
288	Chr03	03_42819489	124.882	42819489	3	H	0.001
289	Chr03	03_43190667	125.499	43190667	3	H	0.001
290	Chr03	03_43386736	125.806	43386736	3	H	0.001
291	Chr04	04_204209	0	204209	4	H	0.001
292	Chr04	04_321728	0.598	321728	4	H	0.001
293	Chr04	04_586537	0.898	586537	4	H	0.001
294	Chr04	04_635354	1.5	635354	4	H	0.001
295	Chr04	04_756672	1.8	756672	4	H	0.001
296	Chr04	04_1016502	3.324	1016502	4	H	0.001
297	Chr04	04_1137041	4.537	1137041	4	H	0.001
298	Chr04	04_1065900	5.136	1065900	4	H	0.001
299	Chr04	04_2102753	9.394	2102753	4	H	0.001
300	Chr04	04_2118956	12.192	2118956	4	H	0.001
301	Chr04	04_2224525	13.085	2224525	4	H	0.001
302	Chr04	04_2277547	13.379	2277547	4	H	0.001
303	Chr04	04_2561340	14.886	2561340	4	H	0.001
304	Chr04	04_2636093	15.178	2636093	4	H	0.001
305	Chr04	04_2900288	15.471	2900288	4	H	0.001
306	Chr04	04_2933513	15.763	2933513	4	H	0.001
307	Chr04	04_2958633	16.057	2958633	4	H	0.001
308	Chr04	04_3307580	16.649	3307580	4	H	0.001
309	Chr04	04_3345288	17.234	3345288	4	H	0.001
310	Chr04	04_3405369	17.524	3405369	4	H	0.001
311	Chr04	04_3667329	17.817	3667329	4	H	0.001
312	Chr04	04_4307731	19.008	4307731	4	H	0.001
313	Chr04	04_4466490	19.298	4466490	4	H	0.001
314	Chr04	04_4104193	19.883	4104193	4	H	0.001
315	Chr04	04_3843590	20.471	3843590	4	H	0.001
316	Chr04	04_3815490	21.662	3815490	4	H	0.001
317	Chr04	04_5826066	35.542	5826066	4	H	0.001
318	Chr04	04_6078937	37.35	6078937	4	H	0.001
319	Chr04	04_6721554	42.111	6721554	4	H	0.001
320	Chr04	04_7116790	44.221	7116790	4	H	0.001
321	Chr04	04_7251547	44.511	7251547	4	H	0.001
322	Chr04	04_7298459	44.802	7298459	4	H	0.001
323	Chr04	04_7486916	45.39	7486916	4	H	0.001
324	Chr04	04_7566559	45.978	7566559	4	H	0.001
325	Chr04	04_7686529	46.271	7686529	4	H	0.001
326	Chr04	04_8260240	50.859	8260240	4	H	0.001
327	Chr04	04_8286073	51.158	8286073	4	H	0.001
328	Chr04	04_9037590	56.774	9037590	4	H	0.001
329	Chr04	04_9616656	62.352	9616656	4	H	0.001
330	Chr04	04_9897430	63.859	9897430	4	H	0.001
331	Chr04	04_10157099	64.155	10157099	4	H	0.001
332	Chr04	04_12546958	65.07	12546958	4	H	0.001
333	Chr04	04_16084577	65.371	16084577	4	H	0.001
334	Chr04	04_35917799	66.606	35917799	4	H	0.001
335	Chr04	04_41351742	68.159	41351742	4	H	0.001
336	Chr04	04_42002144	69.074	42002144	4	H	0.001
337	Chr04	04_42249241	69.68	42249241	4	H	0.001
338	Chr04	04_43862065	69.976	43862065	4	H	0.001
339	Chr04	04_46147176	79.823	46147176	4	H	0.001
340	Chr04	04_46163118	80.422	46163118	4	H	0.001
341	Chr04	04_46204517	82.263	46204517	4	H	0.001
342	Chr04	04_47034260	84.238	47034260	4	H	0.001
343	Chr04	04_47740685	88.247	47740685	4	H	0.001
344	Chr04	04_47858859	88.539	47858859	4	H	0.001
345	Chr04	04_48009592	89.127	48009592	4	H	0.001
346	Chr04	04_48187389	92.218	48187389	4	H	0.001
347	Chr04	04_48471122	93.706	48471122	4	H	0.001
348	Chr04	04_48530066	93.995	48530066	4	H	0.001
349	Chr04	04_48643257	94.867	48643257	4	H	0.001
350	Chr04	04_48684098	95.155	48684098	4	H	0.001
351	Chr04	04_49127886	97.918	49127886	4	H	0.001
352	Chr04	04_49162973	98.209	49162973	4	H	0.001
353	Chr04	04_49343742	99.393	49343742	4	H	0.001
354	Chr04	04_49579700	105.264	49579700	4	H	0.001
355	Chr04	04_49625196	105.551	49625196	4	H	0.001
356	Chr04	04_50090551	110.6	50090551	4	H	0.001
357	Chr04	04_50144186	110.885	50144186	4	H	0.001
358	Chr04	04_50208721	111.46	50208721	4	H	0.001
359	Chr04	04_50308155	112.035	50308155	4	H	0.001
360	Chr04	04_50502514	112.32	50502514	4	H	0.001
361	Chr04	04_51089231	115.986	51089231	4	H	0.001
362	Chr04	04_51272076	116.56	51272076	4	H	0.001
363	Chr04	04_51309763	116.846	51309763	4	H	0.001
364	Chr04	04_52104856	119.243	52104856	4	H	0.001
365	Chr05	05_523725	0	523725	5	H	0.001
366	Chr05	05_1358556	1.603	1358556	5	H	0.001
367	Chr05	05_1496131	2.198	1496131	5	H	0.001
368	Chr05	05_1536037	2.492	1536037	5	H	0.001
369	Chr05	05_1547452	3.084	1547452	5	H	0.001
370	Chr05	05_1582267	3.982	1582267	5	H	0.001
371	Chr05	05_1942075	6.453	1942075	5	H	0.001
372	Chr05	05_2069948	8.576	2069948	5	H	0.001
373	Chr05	05_2125540	8.867	2125540	5	H	0.001
374	Chr05	05_2339541	12.246	2339541	5	H	0.001
375	Chr05	05_2581248	13.416	2581248	5	H	0.001
376	Chr05	05_2742629	13.705	2742629	5	H	0.001
377	Chr05	05_2832231	13.994	2832231	5	H	0.001
378	Chr05	05_2840950	14.281	2840950	5	H	0.001
379	Chr05	05_2906782	14.859	2906782	5	H	0.001
380	Chr05	05_2919756	15.147	2919756	5	H	0.001
381	Chr05	05_2932212	15.434	2932212	5	H	0.001
382	Chr05	05_3525154	21.305	3525154	5	H	0.001
383	Chr05	05_3706749	21.596	3706749	5	H	0.001
384	Chr05	05_3799118	21.888	3799118	5	H	0.001
385	Chr05	05_4682233	28.829	4682233	5	H	0.001
386	Chr05	05_4841694	29.442	4841694	5	H	0.001
387	Chr05	05_5283526	33.067	5283526	5	H	0.001
388	Chr05	05_5480565	35.256	5480565	5	H	0.001
389	Chr05	05_5632150	35.555	5632150	5	H	0.001
390	Chr05	05_5794460	35.857	5794460	5	H	0.001
391	Chr05	05_7534622	40.475	7534622	5	H	0.001
392	Chr05	05_25462356	40.784	25462356	5	H	0.001
393	Chr05	05_27762168	41.727	27762168	5	H	0.001
394	Chr05	05_27856064	42.348	27856064	5	H	0.001
395	Chr05	05_27099807	43.292	27099807	5	H	0.001
396	Chr05	05_19982333	45.875	19982333	5	H	0.001
397	Chr05	05_9698664	47.141	9698664	5	H	0.001
398	Chr05	05_29824759	52.531	29824759	5	H	0.001
399	Chr05	05_31198107	53.434	31198107	5	H	0.001
400	Chr05	05_31243519	53.725	31243519	5	H	0.001
401	Chr05	05_31367025	54.317	31367025	5	H	0.001
402	Chr05	05_31584490	54.902	31584490	5	H	0.001
403	Chr05	05_32095735	56.092	32095735	5	H	0.001
404	Chr05	05_32364847	60.101	32364847	5	H	0.001
405	Chr05	05_32568330	60.41	32568330	5	H	0.001
406	Chr05	05_32998023	66.649	32998023	5	H	0.001
407	Chr05	05_33298504	68.457	33298504	5	H	0.001
408	Chr05	05_33318788	68.749	33318788	5	H	0.001
409	Chr05	05_33362732	69.334	33362732	5	H	0.001
410	Chr05	05_33871249	72.865	33871249	5	H	0.001
411	Chr05	05_34190939	73.479	34190939	5	H	0.001
412	Chr05	05_34201680	73.777	34201680	5	H	0.001
413	Chr05	05_34272637	74.379	34272637	5	H	0.001
414	Chr05	05_34352276	75.288	34352276	5	H	0.001
415	Chr05	05_34604182	76.192	34604182	5	H	0.001
416	Chr05	05_34946894	77.736	34946894	5	H	0.001
417	Chr05	05_35041096	78.639	35041096	5	H	0.001
418	Chr05	05_35120139	78.935	35120139	5	H	0.001
419	Chr05	05_35209993	79.534	35209993	5	H	0.001
420	Chr05	05_35638821	81.375	35638821	5	H	0.001
421	Chr05	05_35773064	81.964	35773064	5	H	0.001
422	Chr05	05_35917535	82.258	35917535	5	H	0.001
423	Chr05	05_36119852	83.764	36119852	5	H	0.001
424	Chr05	05_36150115	87.545	36150115	5	H	0.001
425	Chr05	05_36338646	87.839	36338646	5	H	0.001
426	Chr05	05_36758386	88.133	36758386	5	H	0.001
427	Chr05	05_37289637	89.677	37289637	5	H	0.001
428	Chr05	05_37386857	90.592	37386857	5	H	0.001
429	Chr05	05_37400040	90.889	37400040	5	H	0.001
430	Chr05	05_37414768	91.187	37414768	5	H	0.001
431	Chr05	05_37446350	91.483	37446350	5	H	0.001
432	Chr05	05_37483313	91.777	37483313	5	H	0.001
433	Chr05	05_37809679	93.966	37809679	5	H	0.001
434	Chr05	05_37919942	94.265	37919942	5	H	0.001
435	Chr05	05_38131885	94.864	38131885	5	H	0.001
436	Chr05	05_38418875	97.039	38418875	5	H	0.001
437	Chr05	05_39271942	103.722	39271942	5	H	0.001
438	Chr05	05_39446615	104.347	39446615	5	H	0.001
439	Chr05	05_39809905	112.27	39809905	5	H	0.001
440	Chr05	05_39907435	113.461	39907435	5	H	0.001
441	Chr05	05_39920848	114.049	39920848	5	H	0.001
442	Chr05	05_40052165	114.637	40052165	5	H	0.001
443	Chr05	05_40172533	118.683	40172533	5	H	0.001
444	Chr05	05_40344471	119.86	40344471	5	H	0.001
445	Chr05	05_40495083	120.149	40495083	5	H	0.001
446	Chr05	05_40528038	120.438	40528038	5	H	0.001
447	Chr05	05_40892245	121.315	40892245	5	H	0.001
448	Chr05	05_40916521	121.604	40916521	5	H	0.001
449	Chr05	05_40983930	121.893	40983930	5	H	0.001
450	Chr05	05_40989234	122.182	40989234	5	H	0.001
451	Chr05	05_41176097	122.475	41176097	5	H	0.001
452	Chr05	05_41309125	122.769	41309125	5	H	0.001
453	Chr05	05_41591737	123.063	41591737	5	H	0.001
454	Chr05	05_41645388	123.354	41645388	5	H	0.001
455	Chr05	05_41893109	123.939	41893109	5	H	0.001
456	Chr05	05_42071794	124.231	42071794	5	H	0.001
457	Chr06	06_1785765	0	1785765	6	H	0.001
458	Chr06	06_2104129	2.202	2104129	6	H	0.001
459	Chr06	06_2481568	6.518	2481568	6	H	0.001
460	Chr06	06_2501502	6.819	2501502	6	H	0.001
461	Chr06	06_3163886	10.749	3163886	6	H	0.001
462	Chr06	06_3392346	11.337	3392346	6	H	0.001
463	Chr06	06_3481814	11.929	3481814	6	H	0.001
464	Chr06	06_3633009	12.223	3633009	6	H	0.001
465	Chr06	06_3705015	13.435	3705015	6	H	0.001
466	Chr06	06_6981466	28.19	6981466	6	H	0.001
467	Chr06	06_7329187	29.724	7329187	6	H	0.001
468	Chr06	06_7526362	32.54	7526362	6	H	0.001
469	Chr06	06_7993855	35.026	7993855	6	H	0.001
470	Chr06	06_8085085	35.317	8085085	6	H	0.001
471	Chr06	06_8985500	38.098	8985500	6	H	0.001
472	Chr06	06_9233615	38.392	9233615	6	H	0.001
473	Chr06	06_9407745	39.88	9407745	6	H	0.001
474	Chr06	06_9679385	42.933	9679385	6	H	0.001
475	Chr06	06_9684122	43.222	9684122	6	H	0.001
476	Chr06	06_10143832	43.803	10143832	6	H	0.001
477	Chr06	06_10235581	44.681	10235581	6	H	0.001
478	Chr06	06_10344093	45.563	10344093	6	H	0.001
479	Chr06	06_10851807	47.673	10851807	6	H	0.001
480	Chr06	06_10962807	48.545	10962807	6	H	0.001
481	Chr06	06_10992995	48.832	10992995	6	H	0.001
482	Chr06	06_11124796	49.704	11124796	6	H	0.001
483	Chr06	06_11662107	53.776	11662107	6	H	0.001
