Glyma2.0	Glyma1.1	chromosome_number	start_mb	stop_mb
Glyma.01g012700	NA	1	1211160	1216306
Glyma.01g012800	Glyma01g01630	1	1220267	1224974
Glyma.01g012900	Glyma01g01641	1	1228018	1230052
Glyma.01g013000	Glyma01g01651	1	1232056	1232591
Glyma.01g013100	Glyma01g01680	1	1233755	1237513
Glyma.01g013200	Glyma01g01690	1	1245513	1250153
Glyma.01g013300	Glyma01g01700	1	1267962	1275041
Glyma.01g013400	Glyma01g01715	1	1278300	1280130
Glyma.01g013500	Glyma01g01730	1	1284193	1292972
Glyma.01g013600	Glyma01g01740	1	1302163	1312433
Glyma.01g013700	NA	1	1309915	1310645
Glyma.01g013800	Glyma01g01750	1	1314163	1316550
Glyma.01g013900	Glyma01g01770	1	1327885	1331315
Glyma.01g014000	Glyma01g01780	1	1337737	1342734
Glyma.01g014100	Glyma01g01790	1	1352031	1357445
Glyma.01g014200	Glyma01g01805	1	1371903	1382029
Glyma.01g014300	Glyma01g01820	1	1386439	1387102
Glyma.01g014400	Glyma01g01830	1	1389107	1393444
Glyma.01g014500	Glyma01g01840	1	1394486	1397925
Glyma.01g014600	Glyma01g01850	1	1404289	1411232
Glyma.01g014700	Glyma01g01860	1	1427800	1434338
Glyma.01g0148002	NA	1	1459585	1462094
Glyma.01g0148001	NA	1	1463543	1464612
Glyma.01g014900	Glyma01g01890	1	1479986	1484286
Glyma.01g015000	Glyma01g01900	1	1485325	1491704
Glyma.01g015100	Glyma01g01910	1	1496846	1500010
Glyma.01g015200	Glyma01g01920	1	1501239	1505312
Glyma.01g015300	Glyma01g01930	1	1507119	1508864
Glyma.01g015400	Glyma01g01940	1	1510354	1511458
Glyma.01g015500	Glyma01g01950	1	1516447	1519964
Glyma.01g015600	Glyma01g01960	1	1522027	1527320
Glyma.01g015700	Glyma01g01970	1	1528792	1532355
Glyma.01g015800	Glyma01g01980	1	1533147	1534160
Glyma.01g015900	Glyma01g01990	1	1536576	1540311
Glyma.01g016000	Glyma01g02020	1	1547216	1547437
Glyma.01g016100	Glyma01g02031	1	1548355	1551672
Glyma.01g016200	NA	1	1553067	1556242
Glyma.01g016300	NA	1	1555182	1556040
Glyma.01g016400	Glyma01g02050	1	1560698	1564822
Glyma.01g016500	Glyma01g02060	1	1573790	1583422
Glyma.01g016600	Glyma01g02070	1	1592908	1595410
Glyma.01g016700	Glyma01g02080	1	1599357	1600466
Glyma.01g016800	Glyma01g02090	1	1609124	1612598
Glyma.01g016900	Glyma01g02100	1	1614637	1619559
Glyma.01g017000	Glyma01g02110	1	1622886	1624365
Glyma.01g017100	Glyma01g02120	1	1634013	1637492
Glyma.01g017200	Glyma01g02130	1	1642862	1643728
Glyma.01g017300	Glyma01g02140	1	1648449	1650121
Glyma.01g017400	Glyma01g02150	1	1653678	1657140
Glyma.01g017500	Glyma01g02160	1	1662657	1663915
Glyma.01g017600	Glyma01g02171	1	1673427	1674421
Glyma.01g017700	Glyma01g02180	1	1689030	1691957
Glyma.01g017800	Glyma01g02190	1	1722270	1723518
Glyma.01g017900	Glyma01g02200	1	1734474	1735545
Glyma.01g018000	Glyma01g02215	1	1736217	1737749
Glyma.01g018100	NA	1	1745243	1746141
Glyma.01g018200	Glyma01g02235	1	1748639	1749703
Glyma.01g018300	Glyma01g02240	1	1750027	1754223
Glyma.01g018400	Glyma01g02251	1	1772897	1774869
Glyma.01g018500	Glyma01g02260	1	1782875	1783916
Glyma.01g018600	Glyma01g02270	1	1783917	1787272
Glyma.01g018700	Glyma01g02280	1	1790049	1792039
Glyma.01g018800	Glyma01g02290	1	1803842	1805405
Glyma.01g018900	Glyma01g02295	1	1814560	1817417
Glyma.01g019000	Glyma01g02300	1	1818232	1821908
Glyma.01g019100	Glyma01g02321	1	1826798	1836387
Glyma.01g019200	Glyma01g02330	1	1839153	1846859
Glyma.01g019300	Glyma01g02340	1	1865692	1868540
Glyma.01g019400	Glyma01g02350	1	1886628	1890851
Glyma.01g019500	Glyma01g02360	1	1905829	1906826
Glyma.01g019600	Glyma01g02380	1	1929870	1932580
Glyma.01g019700	Glyma01g02390	1	1941089	1943035
Glyma.01g019800	Glyma01g02400	1	1971084	1977113
Glyma.01g019900	Glyma01g02420	1	1979213	1984198
Glyma.01g020000	Glyma01g02435	1	1990783	1994783
Glyma.01g020100	Glyma01g02451	1	1999880	2008419
Glyma.01g020200	Glyma01g02465	1	2009725	2010906
Glyma.01g020300	Glyma01g02480	1	2011230	2020186
Glyma.01g020400	Glyma01g02510	1	2035445	2036241
Glyma.01g020500	Glyma01g02525	1	2039275	2056055
Glyma.01g020600	Glyma01g02540	1	2067151	2067966
Glyma.01g020700	Glyma01g02550	1	2069065	2069931
Glyma.01g020800	Glyma01g02560	1	2092161	2100211
Glyma.01g020900	Glyma01g02570	1	2104937	2109784
Glyma.01g021000	Glyma01g02580	1	2122589	2125447
Glyma.01g021100	Glyma01g02610	1	2140441	2142143
Glyma.01g021200	Glyma01g02620	1	2148822	2155157
Glyma.01g021300	Glyma01g02630	1	2159641	2163970
Glyma.01g021400	Glyma01g02640	1	2171115	2176385
Glyma.01g021500	NA	1	2186117	2186869
Glyma.01g021600	Glyma01g02660	1	2189923	2194362
Glyma.01g021700	Glyma01g02670	1	2197811	2200232
Glyma.01g021800	NA	1	2202117	2203202
Glyma.01g021900	Glyma01g02691	1	2205370	2206736
Glyma.01g022000	Glyma01g02710	1	2209688	2210849
Glyma.01g022100	Glyma01g02720	1	2210751	2211738
Glyma.01g022200	NA	1	2212834	2213622
Glyma.01g022300	Glyma01g02740	1	2215383	2217438
Glyma.01g0224002	NA	1	2235786	2236837
Glyma.01g0224001	NA	1	2239362	2241294
Glyma.01g022500	Glyma01g02760	1	2246170	2251398
Glyma.01g022600	Glyma01g02780	1	2281410	2286917
Glyma.01g022700	Glyma01g02790	1	2287485	2293185
Glyma.01g0228002	NA	1	2296901	2296940
Glyma.01g0228001	NA	1	2298566	2303966
Glyma.01g022900	Glyma01g02810	1	2304042	2308423
Glyma.01g023000	Glyma01g02820	1	2314359	2317518
Glyma.01g023100	Glyma01g02830	1	2327716	2330874
Glyma.01g023200	Glyma01g02840	1	2331638	2339135
Glyma.01g023300	Glyma01g02850	1	2343215	2348080
Glyma.01g023400	NA	1	2363290	2365720
Glyma.01g023500	Glyma01g02880	1	2367321	2373449
Glyma.01g023600	Glyma01g02890	1	2380849	2402441
Glyma.01g023700	Glyma01g02900	1	2405107	2414341
Glyma.01g023800	NA	1	2426625	2433075
Glyma.01g023900	Glyma01g02941	1	2433777	2442737
Glyma.01g024000	Glyma01g02950	1	2455767	2457198
Glyma.01g024100	Glyma01g02963	1	2462884	2465300
Glyma.01g024200	NA	1	2471111	2473720
Glyma.01g024300	Glyma01g02990	1	2484222	2486235
Glyma.01g024400	NA	1	2491294	2493664
Glyma.01g024500	Glyma01g03005	1	2502596	2504339
Glyma.01g024600	Glyma01g03020	1	2504633	2507081
Glyma.01g024700	Glyma01g03030	1	2529244	2531919
Glyma.01g024800	Glyma01g03040	1	2537581	2544862
Glyma.01g024900	Glyma01g03050	1	2550549	2551651
Glyma.01g025000	Glyma01g03060	1	2558045	2560286
Glyma.01g025100	Glyma01g03070	1	2601431	2602687
Glyma.01g025200	Glyma01g03090	1	2616281	2621186
Glyma.01g025300	Glyma01g03100	1	2649510	2652292
Glyma.01g025400	Glyma01g03110	1	2683720	2685268
Glyma.01g025500	Glyma01g03120	1	2699503	2701968
Glyma.01g025600	Glyma01g03130	1	2702813	2706006
Glyma.01g025700	Glyma01g03140	1	2712747	2712902
Glyma.01g025800	Glyma01g03150	1	2714436	2715928
Glyma.01g025900	NA	1	2731088	2731862
Glyma.01g026000	Glyma01g03160	1	2732449	2740742
Glyma.01g026100	Glyma01g03180	1	2741832	2744918
Glyma.01g026200	Glyma01g03190	1	2747392	2755356
Glyma.01g026300	NA	1	2757742	2760499
Glyma.01g026400	Glyma01g03210	1	2765244	2767576
Glyma.01g026500	Glyma01g03220	1	2768571	2771462
Glyma.01g026600	Glyma01g03240	1	2781491	2782600
Glyma.01g026700	Glyma01g03260	1	2800909	2808407
Glyma.01g026800	Glyma01g03270	1	2819064	2823273
Glyma.01g026900	NA	1	2829921	2833313
Glyma.01g027000	Glyma01g03310	1	2836310	2838537
Glyma.01g027100	Glyma01g03321	1	2841569	2846006
Glyma.01g027200	NA	1	2848182	2849925
Glyma.01g027300	Glyma01g03330	1	2852073	2856865
Glyma.01g027400	Glyma01g03340	1	2859609	2863397
Glyma.01g027500	Glyma01g03360	1	2874408	2877212
Glyma.01g027600	Glyma01g03371	1	2884478	2887943
Glyma.01g027700	Glyma01g03380	1	2889242	2892328
Glyma.01g027800	Glyma01g03390	1	2895690	2900577
Glyma.01g027900	Glyma01g03400	1	2912340	2915599
Glyma.01g028000	Glyma01g03410	1	2923915	2927479
Glyma.01g028100	Glyma01g03420	1	2929035	2934455
Glyma.01g028200	Glyma01g03430	1	2934903	2938421
Glyma.01g028300	Glyma01g03450	1	2948608	2957378
Glyma.01g028400	NA	1	2998371	2999567
Glyma.01g028500	Glyma01g03470	1	2999967	3001495
Glyma.01g028600	Glyma01g03480	1	3002314	3007143
Glyma.01g028700	Glyma01g03490	1	3014195	3020497
Glyma.01g028800	Glyma01g03500	1	3037245	3038559
Glyma.01g028900	Glyma01g03530	1	3060271	3064492
Glyma.01g029000	Glyma01g03540	1	3079661	3082412
Glyma.01g029100	Glyma01g03550	1	3084233	3090081
Glyma.01g029200	Glyma01g03570	1	3098701	3100169
Glyma.01g029300	Glyma01g03580	1	3107239	3109811
Glyma.01g029400	Glyma01g03590	1	3123489	3124811
Glyma.01g029500	Glyma01g03600	1	3130778	3135499
Glyma.01g029600	Glyma01g03610	1	3137027	3140461
Glyma.01g029700	Glyma01g03621	1	3140702	3142591
Glyma.01g029800	Glyma01g03650	1	3148712	3151772
Glyma.01g029900	Glyma0430s00250	1	3152131	3157338
Glyma.01g030000	Glyma01g03670	1	3159945	3161005
Glyma.01g030100	NA	1	3163363	3164551
Glyma.01g030200	Glyma01g03690	1	3167272	3172978
Glyma.01g030300	Glyma01g03700	1	3178070	3179538
Glyma.01g030400	Glyma01g03710	1	3182949	3187700
Glyma.01g030500	Glyma01g03720	1	3189212	3200277
Glyma.01g030600	Glyma01g03730	1	3202613	3206095
Glyma.01g030700	NA	1	3204824	3205142
Glyma.01g030800	Glyma01g03750	1	3208232	3215706
Glyma.01g030900	Glyma01g03760	1	3234395	3237574
Glyma.01g031000	NA	1	3242360	3244328
Glyma.01g031100	NA	1	3245447	3246270
Glyma.01g031200	Glyma01g03780	1	3248437	3251412
Glyma.01g031300	Glyma01g03790	1	3257841	3260562
Glyma.01g031400	Glyma01g03810	1	3264673	3271140
Glyma.01g031500	Glyma01g03820	1	3278502	3282846
Glyma.01g031600	NA	1	3292411	3295255
Glyma.01g031700	Glyma01g03830	1	3298861	3302133
Glyma.01g031800	Glyma01g03850	1	3328121	3334148
Glyma.01g031900	Glyma01g03870	1	3342396	3347771
Glyma.01g032000	Glyma01g03880	1	3363639	3366996
Glyma.01g032100	Glyma01g03890	1	3374233	3387279
Glyma.01g032200	Glyma01g03900	1	3392970	3394819
Glyma.01g032300	Glyma01g03910	1	3396704	3399050
Glyma.01g032400	Glyma01g03921	1	3404831	3411453
Glyma.01g032500	Glyma01g03930	1	3415166	3425683
Glyma.01g032600	Glyma01g03940	1	3428092	3430571
Glyma.01g032700	NA	1	3430682	3431061
Glyma.01g032800	Glyma01g03972	1	3440071	3441480
Glyma.01g032900	Glyma01g03980	1	3455319	3459556
Glyma.01g033000	NA	1	3459557	3462334
Glyma.01g033100	Glyma03g16296	1	3469089	3471498
Glyma.01g033200	NA	1	3487315	3493797
Glyma.01g033300	Glyma01g04000	1	3499474	3504138
Glyma.01g033400	NA	1	3504407	3505708
Glyma.01g033500	Glyma01g04015	1	3514070	3519602
Glyma.01g033600	Glyma01g04030	1	3524820	3525113
Glyma.01g0337002	NA	1	3526381	3528862
Glyma.01g0337001	NA	1	3532237	3533019
Glyma.01g033800	Glyma01g04050	1	3535699	3539383
Glyma.01g033900	Glyma01g04060	1	3545086	3549390
Glyma.01g034000	Glyma01g04070	1	3552796	3554812
Glyma.01g034100	Glyma01g04080	1	3564064	3569598
Glyma.01g034200	Glyma01g04090	1	3565380	3572403
Glyma.01g034300	Glyma01g04100	1	3573149	3579461
Glyma.01g034400	Glyma01g04107	1	3583053	3583811
Glyma.01g034500	Glyma01g04114	1	3585569	3588054
Glyma.01g034600	Glyma01g04122	1	3588552	3590901
Glyma.01g034700	Glyma01g04130	1	3599923	3602578
Glyma.01g034800	Glyma01g04140	1	3605528	3607302
Glyma.01g034900	Glyma01g04151	1	3613545	3615901
Glyma.01g035000	Glyma01g04160	1	3626092	3630869
Glyma.01g035100	Glyma01g04170	1	3634033	3639674
Glyma.01g035200	NA	1	3645633	3650030
Glyma.01g035300	Glyma01g04190	1	3678713	3680543
Glyma.01g035400	Glyma01g04200	1	3692399	3696760
Glyma.01g035500	Glyma01g04210	1	3717226	3717396
Glyma.01g035600	Glyma01g04220	1	3717548	3720581
Glyma.01g035700	Glyma01g04230	1	3738152	3741884
Glyma.01g035800	Glyma01g04241	1	3755286	3756659
Glyma.01g035900	NA	1	3761748	3762981
Glyma.01g036000	Glyma01g04250	1	3770841	3773093
Glyma.01g036100	NA	1	3789929	3790606
Glyma.01g036200	Glyma01g04270	1	3791180	3811591
Glyma.01g036300	Glyma01g04285	1	3813757	3814433
Glyma.01g036400	NA	1	3817388	3817609
Glyma.01g036500	Glyma01g04300	1	3821377	3825854
Glyma.01g036600	Glyma01g04310	1	3860214	3861413
Glyma.01g036700	Glyma01g04320	1	3865168	3872478
Glyma.01g036800	Glyma01g04340	1	3916138	3918004
Glyma.01g036900	Glyma01g04350	1	3922226	3924037
Glyma.01g037000	Glyma01g04361	1	3927491	3927844
Glyma.01g037100	Glyma01g04370	1	3931848	3933221
Glyma.01g037200	Glyma01g04380	1	3946315	3948100
Glyma.01g037300	Glyma01g04400	1	3957877	3962517
Glyma.01g037400	Glyma01g04410	1	3971832	3976198
Glyma.01g037500	Glyma01g04421	1	3986684	3988230
Glyma.01g037600	Glyma01g04430	1	4002360	4005512
Glyma.01g037700	Glyma01g04440	1	4005744	4011110
Glyma.01g037800	Glyma01g04450	1	4011644	4013152
Glyma.01g037900	Glyma01g04460	1	4014621	4016821
Glyma.01g038000	Glyma01g04468	1	4026873	4032291
Glyma.01g038100	Glyma01g04476	1	4033780	4041344
Glyma.01g038200	Glyma01g04484	1	4044806	4045467
Glyma.01g038300	Glyma01g04492	1	4045495	4058118
Glyma.01g038400	Glyma01g04500	1	4092064	4096596
Glyma.01g038500	Glyma01g04515	1	4115990	4118441
Glyma.01g0386002	NA	1	4130643	4132709
Glyma.01g038700	Glyma01g04560	1	4156739	4160713
Glyma.01g038800	Glyma01g04570	1	4162465	4166783
Glyma.01g038900	Glyma01g04580	1	4182744	4185349
Glyma.01g039000	Glyma01g04590	1	4212429	4221344
Glyma.01g039100	Glyma01g04600	1	4235182	4237298
Glyma.01g039200	Glyma01g04610	1	4239455	4243315
Glyma.01g039300	Glyma01g04616	1	4256747	4258161
Glyma.01g039400	Glyma01g04623	1	4270598	4275060
Glyma.01g039500	Glyma01g04630	1	4289457	4295700
Glyma.01g039600	Glyma01g04640	1	4300332	4302844
Glyma.01g039700	Glyma01g04650	1	4304713	4310259
Glyma.01g039800	Glyma01g04660	1	4316464	4321369
Glyma.01g039900	Glyma01g04670	1	4324079	4325876
Glyma.01g040000	Glyma01g04690	1	4336374	4338196
Glyma.01g040100	NA	1	4341457	4342817
Glyma.01g040200	Glyma01g04710	1	4345723	4347332
Glyma.01g040300	Glyma01g04720	1	4353053	4358969
Glyma.01g040400	Glyma01g04730	1	4369831	4378842
Glyma.01g040500	Glyma01g04740	1	4380966	4383169
Glyma.01g040600	Glyma01g04750	1	4389420	4392033
Glyma.01g040700	Glyma01g04760	1	4392159	4393458
Glyma.01g040800	Glyma01g04770	1	4395069	4395257
Glyma.01g040900	Glyma01g04791	1	4396965	4402461
Glyma.01g041000	Glyma01g04780	1	4397506	4397703
Glyma.01g041100	Glyma01g04800	1	4403613	4404643
Glyma.01g041200	Glyma01g04810	1	4420529	4421978
Glyma.01g041300	Glyma01g04820	1	4428651	4434734
Glyma.01g041400	Glyma01g04830	1	4457128	4461721
Glyma.01g041500	Glyma01g04860	1	4485002	4490713
Glyma.01g041600	NA	1	4490538	4496387
Glyma.01g041700	Glyma01g04890	1	4530106	4532731
Glyma.01g041800	NA	1	4557097	4557489
Glyma.01g0419002	NA	1	4559162	4561049
Glyma.01g0419001	NA	1	4561360	4561594
Glyma.01g042000	NA	1	4584964	4585226
Glyma.01g042100	Glyma01g04900	1	4603561	4610141
Glyma.01g042200	NA	1	4610171	4612525
Glyma.01g042300	Glyma01g04920	1	4613542	4618432
Glyma.01g042400	Glyma01g04930	1	4639124	4643385
Glyma.01g042500	NA	1	4645926	4649577
Glyma.01g042600	Glyma01g04950	1	4650283	4652980
Glyma.01g042700	Glyma01g04970	1	4664908	4668011
Glyma.01g042800	Glyma01g04980	1	4671215	4677520
Glyma.01g042900	Glyma01g04991	1	4680672	4682282
Glyma.01g043000	Glyma01g05000	1	4683289	4687883
Glyma.01g043100	Glyma01g05020	1	4693924	4694964
Glyma.01g043200	NA	1	4696767	4697324
Glyma.01g043300	Glyma01g05050	1	4707961	4714222
Glyma.01g043400	Glyma01g05060	1	4728360	4732325
Glyma.01g043500	NA	1	4732281	4733326
Glyma.01g043600	Glyma01g05080	1	4751167	4754842
Glyma.01g043700	Glyma01g05090	1	4755228	4758910
Glyma.01g043800	Glyma01g05100	1	4771957	4777439
Glyma.01g043900	Glyma01g05110	1	4789684	4789977
Glyma.01g044000	Glyma01g05150	1	4828066	4829670
Glyma.01g044100	Glyma01g05160	1	4844360	4848720
Glyma.01g044200	Glyma01g05170	1	4872768	4876635
Glyma.01g044300	Glyma01g05190	1	4877269	4885185
Glyma.01g044400	Glyma01g05180	1	4877822	4878133
Glyma.01g044500	Glyma01g05220	1	4914070	4915216
Glyma.01g044600	Glyma01g05230	1	4922421	4925287
Glyma.01g044700	NA	1	4972924	4974140
Glyma.01g044800	Glyma01g05310	1	4983755	4985423
Glyma.01g044900	Glyma01g05321	1	5023297	5032196
Glyma.01g045000	NA	1	5041216	5041816
Glyma.01g045100	Glyma01g05340	1	5059854	5063734
Glyma.01g045200	Glyma01g05350	1	5106053	5107135
Glyma.01g045300	Glyma01g05360	1	5132710	5135851
Glyma.01g045400	Glyma01g05370	1	5140834	5144197
Glyma.01g045500	Glyma01g05410	1	5226449	5228845
Glyma.01g045600	NA	1	5242432	5245038
Glyma.01g045700	Glyma01g05430	1	5265956	5271379
Glyma.01g045800	Glyma01g05440	1	5277237	5281549
Glyma.01g045900	Glyma01g05450	1	5299765	5300990
Glyma.01g046000	Glyma01g05470	1	5317206	5321170
Glyma.01g046100	NA	1	5324168	5326096
Glyma.01g046200	Glyma01g05490	1	5327037	5330677
Glyma.01g046300	Glyma01g05500	1	5337434	5338915
Glyma.01g046400	Glyma01g05540	1	5353518	5356554
Glyma.01g046500	Glyma01g05550	1	5361968	5365535
Glyma.01g046600	Glyma01g05565	1	5379316	5382027
Glyma.01g046700	Glyma01g05580	1	5385859	5391055
Glyma.01g046800	Glyma01g05680	1	5448322	5450706
Glyma.01g046900	Glyma01g05710	1	5465664	5469257
Glyma.01g047000	Glyma01g05740	1	5484606	5486622
Glyma.01g047100	Glyma01g05750	1	5503526	5511806
Glyma.01g047200	Glyma01g05760	1	5509567	5510429
Glyma.01g047300	Glyma01g05765	1	5514127	5517339
Glyma.01g047400	Glyma01g05770	1	5520517	5524259
Glyma.01g047500	Glyma01g05775	1	5528742	5532260
Glyma.01g047600	Glyma01g05780	1	5545562	5545978
Glyma.01g047700	Glyma01g05800	1	5549606	5554165
Glyma.01g047800	Glyma01g05805	1	5559528	5560353
Glyma.01g047900	Glyma01g05810	1	5585129	5586802
Glyma.01g0480001	NA	1	5596803	5601987
Glyma.01g048100	Glyma01g05830	1	5605305	5607452
Glyma.01g048200	Glyma01g05840	1	5615672	5619252
Glyma.01g048300	NA	1	5620361	5624143
Glyma.01g048400	Glyma01g05850	1	5627602	5631187
Glyma.01g048500	Glyma01g05860	1	5659553	5665638
Glyma.01g048600	Glyma01g05871	1	5668640	5670346
Glyma.01g048700	Glyma01g05880	1	5680982	5681671
Glyma.01g048800	Glyma01g05890	1	5681940	5684496
Glyma.01g048900	NA	1	5695082	5697378
Glyma.01g049000	NA	1	5710637	5711191
Glyma.01g049100	Glyma01g05920	1	5717569	5719993
Glyma.01g049200	Glyma01g05933	1	5736667	5737599
Glyma.01g049300	Glyma01g05946	1	5740729	5741566
Glyma.01g049400	Glyma01g05960	1	5763611	5767687
