Object.Name	LG	Start.cM	Stop.cM	Object.Type
A262_1	A1	53.38	53.38	RFLP
A262_2	A2	50.08	50.08	RFLP
A262_3	B1	54.75	54.75	RFLP
A262_4	C2	25.07	25.07	RFLP
A262_5	H	23.46	23.46	RFLP
A264_1	L	27.04	27.04	RFLP
A280_1	N	34.91	34.91	RFLP
A295_1	D1a	87.8	87.8	RFLP
A315_1	K	28.71	28.71	RFLP
A329_1	B2	62.74	62.74	RFLP
A329_2	A1	30.28	30.28	RFLP
A333_1	B1	4.88	4.88	RFLP
A338_1	C2	56.59	56.59	RFLP
A338_2	C1	97	97	RFLP
A343_1	B2	37.99	37.99	RFLP
A343_2	D1b	120.97	120.97	RFLP
A351_1	M	22.38	22.38	RFLP
A351_2	C1	15.67	15.67	RFLP
A352_1	B2	29.19	29.19	RFLP
A352_2	I	34.66	34.66	RFLP
A363_1	L	112.51	112.51	RFLP
A363_2	J	7.87	7.87	RFLP
A363_3	N	116.66	116.66	RFLP
A374_1	E	37.29	37.29	RFLP
A378_1	G	109.48	109.48	RFLP
A381_1	H	11.25	11.25	RFLP
A381_2	B1	37.75	37.75	RFLP
A385_1	L	68.19	68.19	RFLP
A386_1	E	39.98	39.98	RFLP
A397_1	C2	116.72	116.72	RFLP
A398_1	D1a	6.43	6.43	RFLP
A401_1	F	39.08	39.08	RFLP
A401_2	D2	17.18	17.18	RFLP
A404_1	H	60.18	60.18	RFLP
A404_2	B2	110.69	110.69	RFLP
A407_1	I	39.41	39.41	RFLP
A407_2	A1	33.04	33.04	RFLP
A426_1	C2	79.09	79.09	RFLP
A426_2	N	35.56	35.56	RFLP
A426_3	G	56.74	56.74	RFLP
A427_1	B2	110.95	110.95	RFLP
A427_2	G	58.7	58.7	RFLP
A427_3	E	48.75	48.75	RFLP
A450_1	J	29.37	29.37	RFLP
A450_2	L	29.42	29.42	RFLP
A454_1	E	30.88	30.88	RFLP
A455_1	E	27.02	27.02	RFLP
A455_2	N	113.48	113.48	RFLP
A458_1	E	27	27	RFLP
A459_1	L	30.37	30.37	RFLP
A459_3	J	27.4	27.4	RFLP
A461_1	L	87.87	87.87	RFLP
A463_1	C1	21.04	21.04	RFLP
A486_1	A2	53.16	53.16	RFLP
A487_1	A1	8.82	8.82	RFLP
A489_1	L	95.37	95.37	RFLP
A504_1	M	142.17	142.17	RFLP
A505_1	A2	132.3	132.3	RFLP
A509_1	B2	63.68	63.68	RFLP
A510_1	A1	43.7	43.7	RFLP
A510_2	K	53.99	53.99	RFLP
A510_3	I	125.18	125.18	RFLP
A510_4	A2	56.52	56.52	RFLP
A510_5	E	44.36	44.36	RFLP
A510_6	G	45.06	45.06	RFLP
A515_1	I	44.04	44.04	RFLP
A516_1	B2	99.02	99.02	RFLP
A517_1	E	26.02	26.02	RFLP
A519_1	B2	104.73	104.73	RFLP
A519_2	D1b	107.61	107.61	RFLP
A519_3	C1	69.3	69.3	RFLP
A520_1	B1	59.09	59.09	RFLP
A523_1	B2	8.57	8.57	RFLP
A537_1	L	103.72	103.72	RFLP
A538_1	C2	123.37	123.37	RFLP
A566_1	F	114.09	114.09	RFLP
A566_2	H	86.8	86.8	RFLP
A567_1	B1	125.98	125.98	RFLP
A570_1	H	117.09	117.09	RFLP
A572_1	A2	148.55	148.55	RFLP
A584_1	G	65.55	65.55	RFLP
A584_3	M	58.5	58.5	RFLP
A586_2	G	111.19	111.19	RFLP
A588_1	B1	16.7	16.7	RFLP
A593_1	B2	98.54	98.54	RFLP
A597_1	E	52.61	52.61	RFLP
A598_1	B1	131.38	131.38	RFLP
A598_2	E	47.09	47.09	RFLP
A605_1	D1b	64.91	64.91	RFLP
A619_1	B2	65	65	RFLP
A632_1	B1	38.68	38.68	RFLP
A635_1	C2	95.61	95.61	RFLP
A636_1	E	25.95	25.95	RFLP
A638_1	A2	85.8	85.8	RFLP
A638_2	G	56.66	56.66	RFLP
A644_1	I	116.25	116.25	RFLP
A646_1	E	28.15	28.15	RFLP
A655_1	C2	52.2	52.2	RFLP
A656_1	E	37.33	37.33	RFLP
A661_1	K	102.44	102.44	RFLP
A664_1	O	137.66	137.66	RFLP
A664_2	I	118.16	118.16	RFLP
A668_1	K	95.88	95.88	RFLP
A670_1	K	85.95	85.95	RFLP
A670_3	C2	101.69	101.69	RFLP
A676_1	C2	148.61	148.61	RFLP
A681_1	G	116.76	116.76	RFLP
A685_1	B2	14.82	14.82	RFLP
A688_1	I	32.4	32.4	RFLP
A690_1	A2	113.44	113.44	RFLP
A690_2	G	105.87	105.87	RFLP
A691_1	D1a	40.83	40.83	RFLP
A702_1	B1	25.17	25.17	RFLP
A703_1	H	50.86	50.86	RFLP
A708_1	F	84.16	84.16	RFLP
A711_1	E	63.18	63.18	RFLP
A715_1	M	73.37	73.37	RFLP
A724_1	J	84.88	84.88	RFLP
A725_1	D1b	8.63	8.63	RFLP
A725_2	D1a	37.9	37.9	RFLP
A741_1	B2	90.98	90.98	RFLP
A747_1	D1b	69.18	69.18	RFLP
A748_1	C2	131.75	131.75	RFLP
A748_2	H	90.25	90.25	RFLP
A757_1	F	63.11	63.11	RFLP
A802_2	L	111.07	111.07	RFLP
A806_1	F	40.38	40.38	RFLP
A808_1	N	68.76	68.76	RFLP
A808_2	D1b	84	84	RFLP
A810_1	H	97.52	97.52	RFLP
A816_1	G	67.52	67.52	RFLP
A841_1	K	87.04	87.04	RFLP
A847_1	B1	40.08	40.08	RFLP
A858_1	H	124	124	RFLP
A878_1	O	78.33	78.33	RFLP
A882_1	O	37.75	37.75	RFLP
A885_1	G	79.23	79.23	RFLP
A890_1	G	67.69	67.69	RFLP
A946_1	C1	41.97	41.97	RFLP
A946_2	M	55.49	55.49	RFLP
A947_1	D1a	34.5	34.5	RFLP
A955_1	I	51.99	51.99	RFLP
A955_2	O	138.38	138.38	RFLP
A963_1	E	17.12	17.12	RFLP
A975_1	A1	75.41	75.41	RFLP
A975_2	A2	61.29	61.29	RFLP
AAACCC1000	C1	83	83	AFLP
AB002807	I	35.16	35.16	SSR
AC_telo	N	10.88	10.88	RFLP
AF162283	G	87.94	87.94	SSR
AF186183	M	77.23	77.23	SSR
AG36	C2	113.69	113.69	SSR
AI794821	C1	122.62	122.62	SSR
AI856415	D1b	50.11	50.11	SSR
AQ851479	B1	128.66	128.66	SSR
AQ851518	I	106.8	106.8	SSR
AW132402	A2	67.86	67.86	SSR
AW186493	F	21.04	21.04	SSR
AW277661	C1	74.79	74.79	SSR
AW310961	J	5.19	5.19	SSR
AW508247	L	38.83	38.83	SSR
AW620774	B2	90.3	90.3	SSR
AW734043	C2	4.22	4.22	SSR
AW734137	G	15.63	15.63	SSR
AW756935	F	124.87	124.87	SSR
AW781285	D1a	67.77	67.77	SSR
AZ254740	G	8.23	8.23	SSR
AZ302047	D1a	57.75	57.75	SSR
AZ536570	A1	31.38	31.38	SSR
"Acid_detergent_fiber,_R6_1-1"	L	71.18	89.22	QTL_other-seed
"Acid_detergent_fiber,_R6_1-2"	F	118.26	146.57	QTL_other-seed
"Acid_phosphatase_activity,_variable_P_1-1"	K	54	56.5	QTL_whole-plant
"Acid_phosphatase_activity,_variable_P_1-2"	A2	80.1	83	QTL_whole-plant
"Acid_phosphatase_activity,_variable_P_1-3"	O	60.4	64.5	QTL_whole-plant
"Acid_phosphatase_activity,_variable_P_1-4"	C2	117.3	127.2	QTL_whole-plant
"Acid_phosphatase_activity,_variable_P_1-5"	A2	80.1	83	QTL_whole-plant
"Acid_phosphatase_activity,_variable_P_1-6"	K	54	56.5	QTL_whole-plant
"Acid_phosphatase_activity,_variable_P_1-7"	D2	102.8	111.7	QTL_whole-plant
Aco4	B1	29.87	29.87	Gene
Al_tolerance_1-1	A2	117.5	119.5	QTL_inorganic
Al_tolerance_1-2	B1	19	21	QTL_inorganic
Al_tolerance_1-3	B1	39.1	41.1	QTL_inorganic
Al_tolerance_1-4	F	66.2	68.2	QTL_inorganic
Al_tolerance_1-5	J	56.2	58.2	QTL_inorganic
Al_tolerance_1-6	L	3.1	5.1	QTL_inorganic
Al_tolerance_2-1	F	16.08	33.18	QTL_inorganic
Al_tolerance_2-2	C2	126.23	145.47	QTL_inorganic
Al_tolerance_2-3	C2	126.23	145.47	QTL_inorganic
Al_tolerance_3-1	B1	46.38	53.41	QTL_inorganic
Al_tolerance_3-2	D1b	38.04	42.04	QTL_inorganic
Al_tolerance_3-3	D2	86.42	95.42	QTL_inorganic
Al_tolerance_3-4	K	60.32	62.32	QTL_inorganic
Al_tolerance_3-5	B1	46.38	53.41	QTL_inorganic
Al_tolerance_3-6	O	68.97	74.05	QTL_inorganic
Al_tolerance_3-7	B1	46.38	53.41	QTL_inorganic
Al_tolerance_3-8	D2	86.42	95.55	QTL_inorganic
Al_tolerance_3-9	L	34.54	38.16	QTL_inorganic
Ap	A2	157.27	157.27	Gene
Asian_Soybean_Rust_2-1	A2	145.57	162.02	QTL_fungal
Asian_Soybean_Rust_2-2	K	49.52	50.58	QTL_fungal
Asian_Soybean_Rust_2-3	F	97.97	111.88	QTL_fungal
Asian_Soybean_Rust_2-4	E	15.86	56.27	QTL_fungal
B030_2	A1	49.29	49.29	RFLP
B031_1	B1	39.63	39.63	RFLP
B031_2	G	52.59	52.59	RFLP
B032_1	J	74.04	74.04	RFLP
B032_2	K	59.32	59.32	RFLP
B039_1	I	104.44	104.44	RFLP
B046_1	L	46.4	46.4	RFLP
B046_2	J	13.95	13.95	RFLP
B053_1	G	5.77	5.77	RFLP
B069_1	H	84.13	84.13	RFLP
B072_1	H	124.05	124.05	RFLP
B074_1	J	17.35	17.35	RFLP
B1	F	89.88	89.88	SSR
B1.10358434	B1	57.31	57.31	SNP
B101_1	J	2.24	2.24	RFLP
B122_1	J	57.2	57.2	RFLP
B124_1	B2	83.58	83.58	RFLP
B124_2	L	30.2	30.2	RFLP
B124_3	E	47.54	47.54	RFLP
B131_1	C2	115.19	115.19	RFLP
B132_1	A2	112.3	112.3	RFLP
B132_4	D2	15	15	RFLP
B139_1	D1b	128.39	128.39	RFLP
B142_1	B2	43.58	43.58	RFLP
B146_1	D2	22.96	22.96	RFLP
B148_1	F	105.83	105.83	RFLP
B148_2	H	100.43	100.43	RFLP
B151_1	G	60.52	60.52	RFLP
B151_2	G	64.62	64.62	RFLP
B153_1	B2	74.77	74.77	RFLP
B157_1	O	96.01	96.01	RFLP
B160_1	C2	93.7	93.7	RFLP
B162_1	N	49.77	49.77	RFLP
B162_2	L	49.4	49.4	RFLP
B164_1	L	35.29	35.29	RFLP
B166_1	J	27.62	27.62	RFLP
B170_1	A1	94.91	94.91	RFLP
B172_1	A1	60.09	60.09	RFLP
B172_2	A2	51.08	51.08	RFLP
B174_1	E	30.87	30.87	RFLP
B174_2	L	111.47	111.47	RFLP
B174_3	F	84.5	84.5	RFLP
B186_1	D1a	42.11	42.11	RFLP
B194_1	B2	91.69	91.69	RFLP
B194_2	D1b	88.36	88.36	RFLP
B2	E	51.95	51.95	RFLP
B202_1	F	51.25	51.25	RFLP
B212_1	F	69.83	69.83	RFLP
B212_2	E	44.02	44.02	RFLP
B214_1	D1a	41.47	41.47	RFLP
B214_2	I	30.55	30.55	RFLP
B219_1	B1	0.59	0.59	RFLP
B219_2	D1a	114.37	114.37	RFLP
B221_1	B2	116.23	116.23	RFLP
BARC-001485-00045	E	48.98	48.98	SNP
BARC-001489-00142	D2	139.79	139.79	SNP
BARC-002120-00051	K	47.98	47.98	SNP
BARC-007320-00155	M	98.16	98.16	SNP
BARC-007338-00165	B2	35.65	35.65	SNP
BARC-007547-00004	K	52.94	52.94	SNP
BARC-007554-00103	L	46.28	46.28	SNP
BARC-007567-00030	F	73.44	73.44	SNP
BARC-007569-00135	L	102.53	102.53	SNP
BARC-007573-00060	M	48.98	48.98	SNP
BARC-007648-00167	G	5.75	5.75	SNP
BARC-007650-00171	E	48.98	48.98	SNP
BARC-007696-00073	I	37.6	37.6	SNP
BARC-007704-00081	B1	123.63	123.63	SNP
BARC-007714-00098	M	74.3	74.3	SNP
BARC-007722-00082	M	7.2	7.2	SNP
BARC-007726-00090	D1a	115	115	SNP
BARC-007730-00067	F	70.9	70.9	SNP
BARC-007732-00002	H	66.01	66.01	SNP
BARC-007889-00156	D1b	29.2	29.2	SNP
BARC-007901-00205	C1	72.4	72.4	SNP
BARC-007970-00180	I	95.74	95.74	SNP
BARC-007972-00189	K	5.43	5.43	SNP
BARC-007975-00192	F	95.1	95.1	SNP
BARC-008001-00154	F	70.74	70.74	SNP
BARC-008009-00213	D1a	107.84	107.84	SNP
BARC-008013-00214	D1a	83.3	83.3	SNP
BARC-008017-00148	M	4.72	4.72	SNP
BARC-008075-00070	O	56.78	56.78	SNP
BARC-008105-00125	A2	57.01	57.01	SNP
BARC-008209-00048	O	94.69	94.69	SNP
BARC-008211-00113	K	93.9	93.9	SNP
BARC-008217-00014	B2	70.38	70.38	SNP
BARC-008223-00024	G	84.2	84.2	SNP
BARC-008231-00112	E	14.39	14.39	SNP
BARC-008235-00012	H	64.5	64.5	SNP
BARC-008237-00124	E	15.12	15.12	SNP
BARC-008249-00047	A2	37.96	37.96	SNP
BARC-008253-00131	I	107.95	107.95	SNP
BARC-010095-00512	J	67.41	67.41	SNP
BARC-010097-00518	A2	53.99	53.99	SNP
BARC-010119-00522	O	19.7	19.7	SNP
BARC-010137-00527	F	70.9	70.9	SNP
BARC-010179-00543	N	59.75	59.75	SNP
BARC-010211-00551	N	67.64	67.64	SNP
BARC-010241-00561	K	24.15	24.15	SNP
BARC-010249-00568	B1	41.48	41.48	SNP
BARC-010251-00569	J	48.94	48.94	SNP
BARC-010279-00575	F	70.9	70.9	SNP
BARC-010289-00577	D2	81.95	81.95	SNP
BARC-010297-00581	J	67.41	67.41	SNP
BARC-010329-00586	A2	11.52	11.52	SNP
BARC-010449-00636	C2	113.66	113.66	SNP
BARC-010457-00640	C2	119.9	119.9	SNP
BARC-010459-00642	C2	119.09	119.09	SNP
BARC-010491-00654	G	100.29	100.29	SNP
BARC-010501-00678	F	75.59	75.59	SNP
BARC-010523-00698	K	25.64	25.64	SNP
BARC-010543-00709	E	9.99	9.99	SNP
BARC-010777-00746	C2	127.74	127.74	SNP
BARC-011057-00831	D1a	60.69	60.69	SNP
BARC-011565-00290	N	39.84	39.84	SNP
BARC-011587-00296	D1b	29.2	29.2	SNP
BARC-011591-00299	D2	114.89	114.89	SNP
BARC-011595-00306	D2	27.5	27.5	SNP
BARC-011601-00307	I	38.51	38.51	SNP
BARC-011625-00310	J	83.25	83.25	SNP
BARC-011635-00314	A2	46.12	46.12	SNP
BARC-011637-00315	J	65.35	65.35	SNP
BARC-011641-00318	L	70.9	70.9	SNP
BARC-011645-00320	J	61.07	61.07	SNP
BARC-011665-00325	L	27.22	27.22	SNP
BARC-011685-00328	I	42.7	42.7	SNP
BARC-012111-00333	J	61.07	61.07	SNP
BARC-012295-01800	G	6.33	6.33	SNP
BARC-012687-00367	D2	47.77	47.77	SNP
BARC-012699-00377	K	49.96	49.96	SNP
BARC-012703-00380	B2	110.08	110.08	SNP
BARC-012727-00386	A2	51.1	51.1	SNP
BARC-012749-00389	B2	25.66	25.66	SNP
BARC-012945-00406	M	48.98	48.98	SNP
BARC-012953-00413	B2	114.61	114.61	SNP
BARC-012991-00416	C2	113.64	113.64	SNP
BARC-013001-00417	A2	103.2	103.2	SNP
BARC-013007-00419	L	89.22	89.22	SNP
BARC-013055-00431	E	47.84	47.84	SNP
BARC-013061-00434	L	82.58	82.58	SNP
BARC-013063-00436	K	49.96	49.96	SNP
BARC-013065-00437	A1	95.4	95.4	SNP
BARC-013073-00440	E	56.71	56.71	SNP
BARC-013203-00448	L	38.7	38.7	SNP
BARC-013213-00450	A2	112.97	112.97	SNP
BARC-013233-00452	K	11.97	11.97	SNP
BARC-013235-00458	E	59.4	59.4	SNP
BARC-013257-00462	F	85.7	85.7	SNP
BARC-013273-00464	B2	91.29	91.29	SNP
BARC-013273-00466	B2	91.18	91.18	SNP
BARC-013297-00468	O	128.13	128.13	SNP
BARC-013305-00475	G	105.68	105.68	SNP
BARC-013325-00483	F	123.8	123.8	SNP
BARC-013379-00491	B1	29.15	29.15	SNP
BARC-013475-00496	H	7.1	7.1	SNP
BARC-013499-00502	D1b	5.01	5.01	SNP
BARC-013501-00504	E	9.99	9.99	SNP
BARC-013505-00505	L	89.22	89.22	SNP
BARC-013521-01154	M	74.3	74.3	SNP
BARC-013547-01157	B1	100.51	100.51	SNP
BARC-013561-01160	N	43.15	43.15	SNP
BARC-013567-01163	A2	65.45	65.45	SNP
BARC-013583-01166	I	75.06	75.06	SNP
BARC-013587-01169	A2	58.63	58.63	SNP
BARC-013599-01171	N	45.5	45.5	SNP
BARC-013627-01181	G	66.71	66.71	SNP
BARC-013633-01184	F	79.22	79.22	SNP
BARC-013637-01193	D2	62.98	62.98	SNP
BARC-013645-01207	I	117.99	117.99	SNP
BARC-013647-01213	G	105.68	105.68	SNP
BARC-013651-01219	J	13.38	13.38	SNP
BARC-013653-01225	D2	97.19	97.19	SNP
BARC-013699-01240	C1	126.04	126.04	SNP
BARC-013709-01241	D2	112.62	112.62	SNP
BARC-013709-01242	D2	114.76	114.76	SNP
BARC-013837-01253	C2	94.51	94.51	SNP
BARC-013845-01256	M	33.18	33.18	SNP
BARC-013857-01257	A2	61.86	61.86	SNP
BARC-013859-01259	B2	115.04	115.04	SNP
BARC-013887-01263	C2	32.74	32.74	SNP
BARC-013895-01264	L	29.56	29.56	SNP
BARC-013905-01267	M	89.36	89.36	SNP
BARC-013927-01275	B2	70.38	70.38	SNP
BARC-013969-01290	D2	67.09	67.09	SNP
BARC-013979-01296	O	132.05	132.05	SNP
BARC-013983-01297	D1b	96.54	96.54	SNP
BARC-013995-01298	D1b	6.54	6.54	SNP
BARC-014271-01299	E	25.74	25.74	SNP
BARC-014277-01301	C1	25.86	25.86	SNP
BARC-014279-01303	K	24.15	24.15	SNP
BARC-014285-01304	B2	5.74	5.74	SNP
BARC-014287-01306	A1	12.74	12.74	SNP
BARC-014299-01307	F	143.28	143.28	SNP
BARC-014305-01310	C2	94.52	94.52	SNP
BARC-014309-01312	B2	56.79	56.79	SNP
BARC-014321-01317	C2	40.81	40.81	SNP
BARC-014323-01318	E	7.9	7.9	SNP
BARC-014329-01322	E	47.99	47.99	SNP
BARC-014349-01327	F	98.87	98.87	SNP
BARC-014353-01329	H	39.86	39.86	SNP
BARC-014361-01331	C1	51.4	51.4	SNP
BARC-014379-01337	G	105.68	105.68	SNP
BARC-014385-01342	L	116.97	116.97	SNP
BARC-014389-01344	D2	6.55	6.55	SNP
BARC-014395-01348	G	15.9	15.9	SNP
BARC-014411-01355	F	7.26	7.26	SNP
BARC-014413-01361	K	53.88	53.88	SNP
BARC-014429-01363	D1b	136.23	136.23	SNP
BARC-014447-01366	D2	27.5	27.5	SNP
BARC-014453-01374	A2	100.96	100.96	SNP
BARC-014455-01377	H	80	80	SNP
BARC-014457-01378	B2	1.22	1.22	SNP
BARC-014459-01381	J	22.94	22.94	SNP
BARC-014463-01558	A1	60.13	60.13	SNP
BARC-014467-01559	J	21.85	21.85	SNP
BARC-014483-01560	D2	6.55	6.55	SNP
BARC-014491-01561	C2	108.75	108.75	SNP
BARC-014501-01563	E	49.99	49.99	SNP
BARC-014509-01564	L	89.26	89.26	SNP
BARC-014527-01571	C2	3.08	3.08	SNP
BARC-014535-01572	F	13.8	13.8	SNP
BARC-014557-01577	C2	76.98	76.98	SNP
BARC-014559-01579	I	113.23	113.23	SNP
BARC-014589-01587	D1a	86.45	86.45	SNP
BARC-014611-01591	B1	26.58	26.58	SNP
BARC-014621-01600	N	99.95	99.95	SNP
BARC-014639-01604	A1	79.17	79.17	SNP
BARC-014651-01606	F	147.6	147.6	SNP
BARC-014655-01607	L	93.87	93.87	SNP
BARC-014657-01608	F	99.76	99.76	SNP
BARC-014659-01609	K	39.76	39.76	SNP
BARC-014665-01613	A2	67.48	67.48	SNP
BARC-014699-01621	N	102.47	102.47	SNP
BARC-014705-01623	M	46.65	46.65	SNP
BARC-014719-01635	E	19.92	19.92	SNP
BARC-014741-01637	I	84.71	84.71	SNP
BARC-014747-01639	D2	133.26	133.26	SNP
BARC-014761-01655	K	49.96	49.96	SNP
BARC-014795-01662	J	65.35	65.35	SNP
BARC-014799-01666	G	108.88	108.88	SNP
BARC-014813-01678	K	53.89	53.89	SNP
BARC-014819-01679	E	28.9	28.9	SNP
BARC-014821-01680	N	59.75	59.75	SNP
BARC-014837-01682	A2	116.88	116.88	SNP
BARC-014843-01684	A1	34.53	34.53	SNP
BARC-014847-01910	A2	116.88	116.88	SNP
BARC-014883-01912	A1	22.88	22.88	SNP
BARC-014885-01914	L	70.33	70.33	SNP
BARC-014917-01917	E	9.99	9.99	SNP
BARC-014919-01921	B2	114.61	114.61	SNP
BARC-014923-01922	D1b	88.99	88.99	SNP
BARC-014927-01923	N	68.98	68.98	SNP
BARC-014947-01929	C2	114.53	114.53	SNP
BARC-014949-01930	C2	32.74	32.74	SNP
BARC-014957-01937	E	58.83	58.83	SNP
BARC-014973-01941	C2	96.89	96.89	SNP
BARC-014987-01944	E	40.99	40.99	SNP
BARC-015005-01950	H	13.65	13.65	SNP
BARC-015033-01953	D2	14.22	14.22	SNP
BARC-015035-01954	D1b	12.09	12.09	SNP
BARC-015055-02546	D1a	52.28	52.28	SNP
BARC-015063-02553	G	82.86	82.86	SNP
BARC-015067-02555	G	8.05	8.05	SNP
BARC-015079-02561	H	92.74	92.74	SNP
BARC-015095-02564	A2	153.63	153.63	SNP
BARC-015109-02568	A1	77.19	77.19	SNP
BARC-015121-02570	C1	121.45	121.45	SNP
BARC-015121-02571	C1	130.88	130.88	SNP
BARC-015313-02278	B1	41.5	41.5	SNP
BARC-015343-01808	A1	60.13	60.13	SNP
BARC-015419-01822	A2	51.43	51.43	SNP
BARC-015435-01966	F	79.21	79.21	SNP
BARC-015439-01969	M	3.12	3.12	SNP
BARC-015463-01971	C1	42.9	42.9	SNP
BARC-015471-01973	G	77.66	77.66	SNP
BARC-015477-01982	D1a	22.75	22.75	SNP
BARC-015479-01984	D2	20.53	20.53	SNP
BARC-015493-01985	L	97.29	97.29	SNP
BARC-015501-01986	D2	128.62	128.62	SNP
BARC-015513-01990	K	49.96	49.96	SNP
BARC-015529-01991	C1	26.9	26.9	SNP
BARC-015535-01992	K	115.05	115.05	SNP
BARC-015539-01995	B2	33.72	33.72	SNP
BARC-015541-02003	K	86.07	86.07	SNP
BARC-015569-02005	I	107.95	107.95	SNP
BARC-015861-02878	I	51.38	51.38	SNP
BARC-015903-02010	F	79.22	79.22	SNP
BARC-015917-02014	B1	29.17	29.17	SNP
BARC-015923-02016	C1	69.44	69.44	SNP
BARC-015945-02020	M	29.69	29.69	SNP
BARC-015951-02021	J	42.03	42.03	SNP
BARC-015973-02029	C2	3.08	3.08	SNP
BARC-015981-02030	C1	26.9	26.9	SNP
BARC-016003-02032	D1a	22.69	22.69	SNP
BARC-016037-02043	D1b	119.18	119.18	SNP
BARC-016047-02046	G	16.14	16.14	SNP
